cobh.annick.1	Ann Ni가 나타날 수 있습니다.
dunbarton.austeyn.58	하하하… 나는 과묵해, 사람의 일에는 그다지 관심이 없습니다. <p/>마누스가 치료자인데 변비로 고민해 있거나라든지,<br/>아이라가 스튜어트의 일을 좋아한다던가라고 하는 일은<br/>전혀 모르기 때문에~. 후후후…
dunbarton.austeyn.59	당신, 조금 이상합니다만…. <br/>무엇으로 이렇게 일일이 상세하게 물어보고 다닙니까? <br/>
dunbarton.austeyn.60	오해하지 않고 들어 주세요. <br/>이것은 인생의 선배로서 하는 이야기이지만…. <p/>인생으로 가장 중요한 (일)것은<br/>상대의 입장에 배려하는 것입니다. <p/>상대는 어떤 일을 좋아해, 어떤 일이 싫은 것인가,<br/>어떤 선물을 좋아하는가<br/>등을 모두 조심하고 되면 안 되는 것이니까…. <br/>인생은 그렇게 간단한 것은 아닌 것만은 알아 두어 주세요. <br/>
dunbarton.austeyn.61	… 최근의 세상은 평화로워 말야…. <br/>특히 이렇다 할 만한 소문은 없지만… 홋홋홋…. <br/>국경 지대입니다만, 에이리후 왕국과<br/>우레이드 지방은 그렇게 사이 나쁘지는 않기 때문입니다 매운…. <br/>
dunbarton.austeyn.62	당신은 북쪽으로부터 온 사람입니까? <br/>그럼 우레이드 지방의 사람이다? <br/>파르홀론족의 자손들의 티르코네일인이<br/>살고 있는 곳을 우레이드 지방이라고 한다. <p/>먼 옛날은 자신들의 왕국을 가지고 있던 것 같네요. <br/>지금은 저런 작은 마을이 되었지만…. <br/>만약 가는 일이 있으면 은행의 여자 아이…. <br/>그래, 베이빈씨에게도 아무쪼록 전해 줍니까?
dunbarton.austeyn.63	… 그것, 나에게 묻고 있습니까? |그다지 가르치고 싶지 않지만 말야.
dunbarton.austeyn.64	… 찾을 수 있을지도 모르지만,|그건 좀 다음에 이야기하는 편이 좋을까.
dunbarton.austeyn.65	그런 일은 저기에서 들어 봐 주세요.
dunbarton.austeyn.66	후~… 재미있지 않구나.
dunbarton.austeyn.67	모르는구나. |… 뭐라구요? |하하하… 나도 그런 이야기는… 모릅니다. |어머… 그러나 나는 도울 수 없습니다만. |그런 일도 있으므로<br/>그렇게 신경쓰지 말아 주세요. |아… 그러나, 내가 모르는 이야기인 것 같네요. |예… 내가 당신의 이야기를<br/>모두 알고 있는 필요는 없을 것입니다. |… 그런 이야기가 있었던가? <br/>다른 사람이 오면 조금 들어 보겠습니다. |그런 이야기를 나로 해도 조금 곤란하지만. 홋홋…|모릅니다~모릅니다~.
dunbarton.austeyn.68	스킬 관련 대사
dunbarton.austeyn.69	응…
dunbarton.austeyn.70	호… 당신 꽤 좋은 사람이군요! <br/>그것 알고 있습니다? 좋은 선물은 그 사람의 인상을 바꿀 수가 있는 것이? <br/>하하하… 뭐, 특히 당신의 일을 말하고 있는 것은 아니지만…|, 이것은 마음에 들었다. <br/>최근 받은 선물 중(안)에서 제일 마음에 들었습니다. <br/>사실입니다. 잘 사용하도록합니다.
dunbarton.austeyn.71	아, 이것은 고마운데. <br/>꽤 마음에 들었습니다. <br/>그렇지만, 좀 더 생각하면, 좀 더 좋은 선물도 가능하겠지요. 하하하…|다음 때도 잘 부탁드립니다. 하하하…. <br/>농담입니다, 농담. 좋은 선물을 고마워요.
dunbarton.austeyn.72	당신의 마음의 따뜻함이 선물을 통해<br/>나의 마음에 그대로 전해져 오는 것 같네요. <br/>감사합니다. |당신은 선물이 성의와 마음을 나타낸다고 하는 일을<br/>알고 있는 사람이군요. <br/>그러한 사람으로부터 선물을 받을 때가 제일 즐거워요.
dunbarton.austeyn.73	인생의 선배로서 한 마디 말하지만…. <br/>이상하게 생각하지 말아 주세요. <p/>…. <br/>당신은 선물 하는 것을<br/>너무 가볍게 생각하고 있는 것 같은 생각이 들지만? |… 홋홋… 홋홋…. <br/>뭐라고도 말할 수 없네요…. <br/>어쨌든 받습니다… 홋홋홋…
dunbarton.austeyn.74	…. <p/>당신 같은 사람이 있다고는 들은 적 있지만,<br/>실제 만나 보면 재미있구나.
dunbarton.austeyn.75	…. <p/>당신 같은 사람이 있는 일은 들은 적 있지만,<br/>실제로 만나 보면 재미있구나.
dunbarton.austeyn.76	계세요. <br/>여신을 구출의 타이틀을 붙이고 있네요. <p/>매우 멋진 타이틀이지만…. <p/>…. <p/>최근에는 타이틀을 위조하는 사람도 있는 것 같으니까…. <p/>아…, 당신을 가리켜 말하고 있는 것이 아니고…
dunbarton.austeyn.77	<button title='회화' keyword='@talk'/><button title='은행' keyword='@bank'/>
dunbarton.austeyn.78	<button title='종료' keyword='@end'/>
dunbarton.austeyn.79	<button title='회화' keyword='@talk'/><button title='은행' keyword='@bank'/><button title='쿠폰' keyword='@coupon'/><button title='코인 이벤트' keyword='@coin'/>
dunbarton.austeyn.80	<button title='종료' keyword='@end'/>
dunbarton.austeyn.81	<button title='회화' keyword='@talk'/><button title='은행' keyword='@bank'/><button title='쿠폰' keyword='@coupon'/>
dunbarton.austeyn.82	<button title='종료' keyword='@end'/>
dunbarton.austeyn.83	용건은?
dunbarton.austeyn.84	그 밖에 용건은?
dunbarton.austeyn.85	쿠폰의 교환? <br/>교환하고 싶은 쿠폰의 번호를 가르쳐 주세요. <br/>1문자…1문자… 정확하게…<inputbox title='Coupon Exchange\n쿠폰 교환' caption='쿠폰 번호를 입력해 주세요' max_len='20' allow_cancel='true'/>
dunbarton.austeyn.86	에서는, 목록을 열어 봐 주세요. <br/>쿠폰이 있겠지요? <br/>쿠폰을 사용하면 것을 받을 수 있습니다.
dunbarton.austeyn.87	, 이 쿠폰은 기한이 지나고 있지만? <br/>좀 더 빨리 오면 좋았을텐데….
dunbarton.austeyn.88	응―… 이 쿠폰 번호는 벌써 교환되고 있구나. <br/>사용할 수 있는 것은 1회만입니다.
dunbarton.austeyn.89	쿠폰 번호가 올바르지 않습니다. <br/>번호를 틀리고 있지 않습니까? <br/>한번 더 잘 봐 주세요.
dunbarton.austeyn.90	응… 쿠폰 번호는 올바릅니다만…. <br/>지금, 이 쿠폰은 교환을 할 수 없기 때문에 보관해 둬,<br/>불편 보고 게시판에 써 주시지 않겠습니까?
dunbarton.austeyn.91	이 쿠폰은, 여기에서는 교환할 수 없습니다. <br/>다른 서버로 사용할 수 있는 쿠폰이군요.
dunbarton.austeyn.92	응―… 이 쿠폰은 조금 이상하네요. <br/>이것은 교환할 수 없습니다.
dunbarton.austeyn.93	이것은 이것은. <br/>가지고 있는 것이 이렇게 많으면, 쿠폰이 들어오는 장소가 없네요. <br/>우선 정리해 주세요.
dunbarton.austeyn.94	코인 이벤트요? <br/>코인 이벤트라면 블루, 그린, 레드, 블랙 4종의 이벤트 코인을 모아<br/>이벤트 응모권으로 바꿔서 가져오시는 분들 중에<br/>추첨을 통해 선물을 드리는 이벤트이지요.
dunbarton.austeyn.95	이벤트 응모권을 가지고 있네요. <br/>어떻습니까? 이벤트에 참가합니까? <br/>오늘의 이벤트 기간중에 참가하면,<br/>몇회 제출해도 전부 합계해 이벤트 결과에 반영되므로 걱정은 필요 없습니다. <button title='그만둔다' keyword='@No'/><button title='참가한다' keyword='@Yes'/>
dunbarton.austeyn.96	네! {0}개의 이벤트 응모권을 받았습니다. <br/>당선 결과는 홈 페이지에서 확인해 주세요. <br/>그럼 당선을 기원합니다~
dunbarton.austeyn.97	불편 보고 게시판에 써 주시지 않겠습니까? Event01
dunbarton.austeyn.98	이것은 이것은… 이제(벌써) 이벤트는 끝난 것 같습니다. <br/>이것은 나에게는 어쩔 수 없습니다. <br/>미안하네요.
dunbarton.austeyn.99	어떻게 한 것입니까? 너무 흥미없습니까? <br/>
dunbarton.austeyn.100	이벤트 코인은 에린 곳곳에서 얻으실 수 있답니다. <br/>잡화점에 가시면, 이벤트 코인을 응모권으로 바꿔주는 퀘스트 스크롤을 팔고 있는데,<br/>그 스크롤을 사용하여 응모권으로 바꿔서 가져오시면,<br/>이벤트에 참여하실 수 있어요.
dunbarton.austeyn.101	이 이벤트는 유료 서비스의 이용자만 참가할 수 있습니다. <br/><username/>씨는, 유감이지만 참가 할 수 없는 상태군요.
dunbarton.austeyn.102	(회화를 할 수 없다.)
dunbarton.austeyn.103	(말이 통하지 않는 것 같다.)
dunbarton.austeyn.104	[0]허가증
dunbarton.austeyn.105	[0]허가증
dunbarton.austeyn.106	<button title='상점 허가증' keyword='@shop'/>
dunbarton.austeyn.107	
dunbarton.austeyn.108	아, 개인 상점의 허가증이 필요한 분이군요? <br/>이 근처에 물건을 팔기 위해서는<br/>반드시 허가증이 필요하므로, 구입해 두어 주세요.
dunbarton.austeyn.109	[0]허가증
dunbarton.austeyn.110	, 도시락에 대해 신경이 쓰입니까? <br/>… 이 도시에서 도시락을 만드는 것 같은 사람이라고 하면…. <p/>후후후, 대개 알았다. <br/>진한 색의 머리카락에 원피스를 입어 안경을 쓴 여자 아이구나. 호호호…. <p/>… 라고 받는 사람도 정해져 있구나? 하하하~.
dunbarton.austeyn.111	, 도시락에 대해 신경이 쓰입니까? <br/>… 이 도시에서 도시락을 만드는 것 같은 사람이라고 하면…. <p/>후후후, 대개 알았다. <br/>진한 색의 머리카락에 원피스를 입어 안경을 쓴 여자 아이구나. 호호호…. <p/>… 라고 받는 사람도 정해져 있구나? 하하하~.
dunbarton.austeyn.112	이런? <br/>에린을 구한 용사가 왔어요. <p/>그 상태로 던바튼의 경제도 지켰으면 좋은 것입니다. <br/>하하하, 농담이에요.
dunbarton.austeyn.113	뭐든지 모르는 것이 있으면<br/>학교의 스튜어트씨의 곳에 가 보는 편이 제일이군요. <br/>… 박식 박사이니까….
dunbarton.austeyn.114	<username/>, 당신은 정말 우리의 은행 정기 아! 이제 당신 같은 젊은이들이 점점 더 적습니다. 그것이 당신이라면, 나는 자신감을 가지고 신뢰할 수 있습니다 ... </p><username/>같은 젊은이들은 이미 솔라 세계에서 거의 없습니다. 많은 메릴 래시아 사람들이 너무 변형되어서 그들을 신뢰하기가 어렵습니다. 그러나 예외는 아닙니다.
dunbarton.austeyn.115	<button title='의견 주셔서 감사합니다' keyword='@answer2'/>
dunbarton.austeyn.116	<button title='의심스러운' keyword='@answer3'/>
dunbarton.austeyn.117	아니, 아니. 자신감은 좋은 것입니다. 나는 나이가 들어도 혼란스럽지 않습니다. <p/>(나는 내 ​​입술을 내 입술로 핥았습니다.) <p/>갑자기 뭔가 생각했습니다. 사소한 문제는 전자 메일을 분류 할 때 발견되었으며, 어떤 뇌가없는 사람이 수신자에게 글쓰기를 잊어 버렸는지를 알지 못했습니다. 이름. <p/>발신자가 누구인지 알 수 있다면 답장을 보낼 수는 있지만 아무런 의견이 없으므로 저에게 해 줄 수 있기를 바랍니다. 다행히도, 마을의 이름은 위에 언급되었다. 그리고 나는 그것을 발견하는 것이 그렇게 어렵지 않아야한다고 생각한다. </p>캡 항구 (Cap Harbor)의 아우구스티누스 (Augustine)에게 넘겨줌으로써, 그는 스트레스를 거의하지 않으면 서 무엇을해야하는지 알게 될 것입니다.
dunbarton.austeyn.118	<button title='수신자' keyword='@answer4'/>
dunbarton.austeyn.119	<button title='拒绝' keyword='@answer5'/>
dunbarton.austeyn.120	(마른 기침을하는 사람, 그저 자신의 악기를 마친다.) 오, 눈은 꽤 독약이다. 너무 긴장하지 마시고, 큰 일이 아닙니다. 당신은 분명히 할 수 있습니다. 일이 끝나면 나는 당신을 적합한 사람에게 소개 할 것입니다. <p/>어떤 두뇌가없는 사람이받는 사람의 이름을 쓰는 것을 잊어 버렸을 지 모르겠다. <p/>발신자가 누구인지 알 수 있다면 답장을 보낼 수는 있지만 아무런 의견이 없으므로 저에게 해 줄 수 있기를 바랍니다. 다행히도, 마을의 이름은 위에 언급되었다. 그리고 나는 그것을 발견하는 것이 그렇게 어렵지 않아야한다고 생각한다. </p>캡 항구 (Cap Harbor)의 아우구스티누스 (Augustine)에게 넘겨줌으로써, 그는 스트레스를 거의하지 않으면 서 무엇을해야하는지 알게 될 것입니다.
dunbarton.austeyn.121	<button title='수신자' keyword='@answer4'/>
dunbarton.austeyn.122	<button title='拒绝' keyword='@answer5'/>
dunbarton.austeyn.123	서둘러야 할 일이 많으므로 ... <p/>(끝내기 전에 이미 다른 비즈니스로 바쁘다.)
dunbarton.austeyn.124	오, 이젠 더 이상 큰 문제가 아니야. 남자는 너무 unfeminine 수 없습니다. 간단히 말해서이 문제는 당신에 달려 있습니다. <p/>(강제 메일 종료)
dunbarton.austeyn.125	<npcportrait name='NONE'/><title name='NONE'/>오스틴과의 대화가 끝납니다.
dunbarton.austeyn.126	오스틴이 나타났습니다.
dunbarton.austeyn.127	[0]라이센스
dunbarton.austeyn.128	(전화 ~ ~ ~ ~ 전화 ~ ~ 전화) | 아 ... 거의 자고 ... | 시체가 전에만큼 좋지 않아 ... 하하하하! 너는 매우 부자인데 ... 하하 ~ | 맞춰 ... 그는 아 은행에 가지 않을거야? 아, 틀렸어, 안돼. 아 ... 지루한 아 ... 왜 아무도 ... 학교에 가지 않았고, 하루 종일 지루했다. 미녀를 고용하는 방법? 여기 누구 있어요? 글쎄 ... 너무 졸려 아 ... 어떻게 본사 소식이 ...
dunbarton.austeyn.129	[0]라이센스
dunbarton.austeyn.130	(통신 할 수없는 것 같습니다)
dunbarton.austeyn.131	<npcportrait name='NONE'/><title name='NONE'/>수염을 가진 회색 머리는 나이가 작지 않은 것처럼 보입니다. 그의 얼굴에 미소를 지닌 얼굴은 항상 그를 매우 활력있는 사람으로 느끼게했습니다. <button title='계속' keyword='@continue'/>
dunbarton.austeyn.132	<npcportrait name='NONE'/><title name='NONE'/>수염을 가진 회색 머리는 나이가 작지 않은 것처럼 보입니다. 그의 얼굴에 미소를 지닌 얼굴은 항상 그를 매우 활력있는 사람으로 느끼게했습니다. <button title='계속' keyword='@continue'/>
dunbarton.austeyn.133	<username/>, 우리 은행의 정규 아! 이제 당신 같은 젊은이들이 점점 더 적습니다. 그것이 당신이라면, 나는 자신감을 가지고 신뢰할 수 있습니다 ... </p><username/>같은 젊은이들은 이미 솔라 세계에서 거의 없습니다. 많은 메릴 래시아 사람들이 너무 변형되어서 그들을 신뢰하기가 어렵습니다. 그러나 예외는 아닙니다.
dunbarton.austeyn.134	<button title='의견 주셔서 감사합니다' keyword='@answer2'/>
dunbarton.austeyn.135	<button title='의심스러운' keyword='@answer3'/>
dunbarton.austeyn.136	아니, 아니. 자신감은 좋은 것입니다. 나는 나이가 들어도 혼란스럽지 않습니다. <p/>(나는 내 ​​입술을 내 입술로 핥았습니다.) <p/>갑자기 뭔가 생각했습니다. 사소한 문제는 전자 메일을 분류 할 때 발견되었으며, 어떤 뇌가없는 사람이 수신자에게 글쓰기를 잊어 버렸는지를 알지 못했습니다. 이름. <p/>발신자가 누구인지 알 수 있다면 답장을 보낼 수는 있지만 아무런 의견이 없으므로 저에게 해 줄 수 있기를 바랍니다. 다행히도, 마을의 이름은 위에 언급되었다. 그리고 나는 그것을 발견하는 것이 그렇게 어렵지 않아야한다고 생각한다. </p>캡 항구 (Cap Harbor)의 아우구스티누스 (Augustine)에게 넘겨줌으로써, 그는 스트레스를 거의하지 않으면 서 무엇을해야하는지 알게 될 것입니다.
dunbarton.austeyn.137	<button title='수신자' keyword='@answer4'/>
dunbarton.austeyn.138	<button title='拒绝' keyword='@answer5'/>
dunbarton.austeyn.139	(그는 마른 기침으로 자신의 악기를 완성합니다.) 오 ... 눈은 아주 독합니다. 너무 긴장하지 마시고, 큰 일이 아닙니다. 당신은 분명히 할 수 있습니다. 일이 끝나면 나는 당신을 적합한 사람에게 소개 할 것입니다. <p/>어떤 두뇌가없는 사람이받는 사람의 이름을 쓰는 것을 잊어 버렸을 지 모르겠다. <p/>발신자가 누구인지 알 수 있다면 답장을 보낼 수는 있지만 아무런 의견이 없으므로 저에게 해 줄 수 있기를 바랍니다. 다행히도, 마을의 이름은 위에 언급되었다. 그리고 나는 그것을 발견하는 것이 그렇게 어렵지 않아야한다고 생각한다. </p>캡 항구 (Cap Harbor)의 아우구스티누스 (Augustine)에게 넘겨줌으로써, 그는 스트레스를 거의하지 않으면 서 무엇을해야하는지 알게 될 것입니다.
dunbarton.austeyn.140	<button title='수신자' keyword='@answer4'/>
dunbarton.austeyn.141	<button title='拒绝' keyword='@answer5'/>
dunbarton.austeyn.142	서둘러야 할 일이 많으므로 ... <p/>(끝내기 전에 이미 다른 비즈니스로 바쁘다.)
dunbarton.austeyn.143	오, 이젠 더 이상 큰 문제가 아니야. 남자는 너무 unfeminine 수 없습니다. 간단히 말해서이 문제는 당신에 달려 있습니다. <p/>(강제 메일 종료)
dunbarton.austeyn.144	<npcportrait name='NONE'/><title name='NONE'/>오스틴과의 대화가 끝납니다.
dunbarton.austeyn.145	<button title='거래' keyword='@shop'/>
dunbarton.austeyn.146	 
dunbarton.austeyn.147	<button title='대화' keyword='@talk'/><button title='은행 거래' keyword='@bank'/>
dunbarton.austeyn.148	<button title='대화 끝내기' keyword='@end'/>
dunbarton.austeyn.149	<button title='대화' keyword='@talk'/><button title='은행 거래' keyword='@bank'/><button title='쿠폰' keyword='@coupon'/>
dunbarton.austeyn.150	<button title='대화 끝내기' keyword='@end'/>
dunbarton.austeyn.151	당신을 위해 무엇을 할 수 있습니까?
dunbarton.austeyn.152	더 이상의 필요성?
dunbarton.austeyn.153	오, 항상 힘들어? 다리 아 먹지 마?
dunbarton.austeyn.154	잘 요리 된 ... 전에 보지 못했습니까?
dunbarton.austeyn.155	갑자기 너의 이름을 기억할 수 없어. 아! 당신은 <username/>입니까?
dunbarton.austeyn.156	반가워요, <username/>씨~
dunbarton.austeyn.157	<username/>, 하하하입니다! 2000 개 이상의 금화를 얻은 것처럼 보입니다 ... ... <p/>어떻게? 은행은 어때? 시체를 두는 것이 안전하지 않습니다 ... <p/>... 당신의 마음을 잃지 않았습니까? <p/>은행의 비용도 이제는 줄어들고 다음과 같은 10,000 개의 금화는 청구되지 않습니다 ...
dunbarton.austeyn.158	<username/>, 하하하입니다!
dunbarton.austeyn.159	바우처를 교환 하시겠습니까? 교환권 번호에 대해 이야기하십시오. 모든 인물은 ​​하나씩 분명합니다. <inputbox title='쿠폰 교환 \ n 쿠폰'caption='쿠폰 번호 입력'max_len='20'allow_cancel='true'/>
dunbarton.austeyn.160	당신의 인벤토리를보십시오. 티켓은 어디에 있습니까? 왼쪽 클릭 쿠폰을 사용하여 사용하도록 선택하면 항목을 가져올 수 있습니다.
dunbarton.austeyn.161	아,이 쿠폰은 만료 됐지? 얼마나 일찍?
dunbarton.austeyn.162	음 ...이 쿠폰은 이미 구속되었습니다. 동일한 번호로 사용할 수 없습니다.
dunbarton.austeyn.163	티켓 번호는 매우 이상한 아입니다. 숫자가 잘못 입력 되었습니까? 너 다시 봐.
dunbarton.austeyn.164	음 ... 쿠폰 번호는 정상이지만 쿠폰을 사용할 수 없으므로 오류 게시판으로 가져 가실 수 있습니까?
dunbarton.austeyn.165	이 쿠폰은이 쿠폰에서 사용할 수 없습니다. 이 쿠폰은 다른 서버에서만 사용할 수 있습니다.
dunbarton.austeyn.166	글쎄 ...이 티켓은 좀 이상해 ... 구속 될 수 없어.
dunbarton.austeyn.167	젠장 ~ 많은 것들이 표를 넣을 수 있니? 먼저 항목 표시 줄을 정리하십시오.
dunbarton.austeyn.168	동전은 작동합니까? 코인 활동은 쿠폰의 대가로 청색, 녹색, 적색 및 검은 색의 4 개의 활동 동전을 모으는 사람들 사이에서 복권으로 선물을주는 활동입니다.
dunbarton.austeyn.169	오, 이벤트 티켓을 가져간 것 같고, 어떤 이벤트가 이벤트에 참가하고 싶습니까? 여러 회기가 함께 이벤트에 반영 될 수 있더라도 걱정하지 마십시오. 오늘의 이벤트에만 참여하십시오. <button title='참여하지 마십시오' keyword='@No'/><button title='join' keyword='@Yes'/>
dunbarton.austeyn.170	좋아. 쿠폰 {0}을 받았습니다. 선택 여부 사이트를 나중에 확인하여 확인하십시오. 음, 행운을 빌어 요 ~.
dunbarton.austeyn.171	잘못된 게시판에 신고 할 수 있습니까? Event01
dunbarton.austeyn.172	이 ...이 활동은 끝났어. 나는 아무것도 할 수 없다. 정말 미안 해요.
dunbarton.austeyn.173	왜, 당신은 아 관심이없는 것 같습니다? <BR/>
dunbarton.austeyn.174	활성 동전은 에린 어디에서나 사용할 수 있습니다. 식료품 점에 액티브 쿠폰과 교환하여 쿠폰을 이동하는 작업 릴을 판매 할 수 있으며 해당 릴에서 쿠폰을받은 후 활동을 수행 할 수 있습니다
dunbarton.austeyn.175	이 이벤트는 유료 사용자 만 사용할 수 있습니다. 불행히도 <username/>은 참여할 수 없습니다.
dunbarton.austeyn.176	개인 상점을 열려면 허가가 필요합니까? 이 장소 근처에서 팔고 싶다면 허가가 필요하며 가져 가야합니다.
dunbarton.austeyn.177	[0]라이센스
dunbarton.austeyn.178	<npcportrait name='NONE'/><title name='NONE'/>오스틴과의 대화는 끝났습니다.
dunbarton.austeyn.179	오, 당신은 무엇을 사고 싶습니까? 왼쪽으로 나가면, 삼촌이 보일 것입니다, 그는 식료품 점의 보스입니다. <p/>거기에 도착한 후, Walter는 대출을 필요로하지 않습니다 ...
dunbarton.austeyn.180	오! 너는 먹지 않은 것 같아! 호텔은 Austin 출신이고 우리 주인이 당신을 맞이할 것이라고 말하는 우리 앞에 있습니다. 그린 니나 스는 매우 친절한 사람입니다, 하하하!
dunbarton.austeyn.181	식품점? 식당을 사는 사람들도 음식을 사러 간다. 하하하 ...
dunbarton.austeyn.182	치료 센터에서 치료 센터가 마누스에 의해 열렸다고 말하고 있습니까? 이 길을 따라 남쪽으로 가다가 똑바로 가라. <p/>마을 남쪽의 도로 오른쪽에 간판이 있습니다.
dunbarton.austeyn.183	응? 오랫동안 여기에 있었고, 호텔에 대해 들어 보지 못했습니까? 그렇다면, 나에게 말해야한다, 나는 또한보고 싶다. ..
dunbarton.austeyn.184	은행? 이 은행 아? 아 ~ 그 은행 알아? 그 ... 어떻게 ... <p/>왜 나 한테 물어 봐야하니? 하하하 ...
dunbarton.austeyn.185	대장간 가게? <p/>대장장이 가게가 뭔지 아십니까? 나는 서점에서 많은 돈을 쓰고 백과 사전을 샀다 ... </p>'내가 보자, 철기를 만들어 보자. <p/>왜 이해가 안되니? <p/>이봐, 라일라는 어떻게 그런 책을 파는거야? 이것이 무슨 뜻인지 아십니까? 서점에 가서 물어 보시겠습니까?
dunbarton.austeyn.186	무기점 ... 넬리 스 무기점? 근처에. 사각형을 향해, 마을 남쪽에있는 입구 근처에 ... <p/>빨간 머리 소녀가 무기 부스 앞에 서있었습니다. 그녀는 Nellis입니다. <p/>조금 차갑고 무관심한 느낌 냉정한 느낌을주는 것은 아닌가?
dunbarton.austeyn.187	다음 문은 Simon의 옷 가게입니까? 너 안에 있었 니? 안으로 들어 가라. 겁내지 마라. 사이먼이 이상하게 보인다. </p>하지만 그는 언제나 그 사람 이었어. 하하,/>당연하지.
dunbarton.austeyn.188	하하 ... 마을 북쪽 입구의 라일 라에있는 서점에 대해 이야기하고 있습니까? 레이라, 꽤 귀여워? <p/>그녀는 항상 나를 소개하는 데 도움이되는 책방에 갔다. 나는 매우 유감스럽지 않다. 그래서 나는 몇 가지 더 살 것이다. 당신은 또한 그것을 보러 갈 것입니다 ~ <p/>아마 그녀는 아마 또한 하하하 몇 가지를 구입 더 말했다고합니다!
dunbarton.austeyn.189	흠 ... 회의실에는 감독과 경호 대장이 있습니다. 그들은 아주 많이 나오지 않을 것입니다 ... 회의실이 당신 앞에서 오른쪽이고 이반을 보았습니다 ... <p/>아, 그녀입니다. 그녀의 이름은 에반입니다. 아름답습니다, 그녀는 공무원입니다.
dunbarton.austeyn.190	활? 찾으려면 팔 상점에 가지 말고, 은행을 찾는 방법 ... 은행 예금에 넣을 수는 있지만 ... 아, 나에게 예금하지 않는 것 같니? <p/>당신은 올바르게 기억합니다 ... Armory에서 Nellis로부터 하나를 구입하십시오.
dunbarton.austeyn.191	우리가 악기를 사서 배울 수있는 것 같습니다. 시도하고 싶습니까? 식료품 점 옆에서 배우고 싶다면 악기를 구입하십시오.
dunbarton.austeyn.192	류트는 매우 간단합니다 ... 우쿨렐레 또는 만돌린은 동일합니다 ... 가격은 비싸지 않습니다 ... <p/>M 아이들은 만돌린을 사용합니다! 만돌린은 류트보다 낫다! Uh-huh ... lute를 사서 식료품 가게에 가려면 Walter 삼촌이 그것을 당신에게 더 싸게 팔 것입니다.
dunbarton.austeyn.193	스킬이 성대에 상처를 입히는 것을 배우 죠?
dunbarton.austeyn.194	작곡가 ...이 마을에있는 사람이 있는지 모르겠습니다.
dunbarton.austeyn.195	의류 생산, 의류 매장 Simon will.
dunbarton.austeyn.196	전투 시리즈의 기술은 나에게 학교의 알랭 원 선생님에게 물어 보지 말라고 부탁하기 시작했고, 그녀는 분명해야합니다.
dunbarton.austeyn.197	... 음 ... 학교의 Allan Wen 선생님은 불만족 스럽습니까? <p/>왜 내가 그녀에게 내 은행원에게 물어 보지 않았습니까?
dunbarton.austeyn.198	가서 학교 선생님 인 앨런 알란에게 그녀가 너에게 할 말을 ... 가서하고 싶지 않니?
dunbarton.austeyn.199	광장? 광장? 광장? 아 그냥 앞에? 하하 ... 못봤 니? 다시 한번보세요!
dunbarton.austeyn.200	이상적인 집 Darnano? 글쎄 ... 나는 네가 생각하는 것을 모르겠다 고 말한다. </p>Deernano, 노인들만이 그 존재를 믿을 것이다 ... < Darnarno가 실제로 있습니다. <p/>어렸을 때 항만에서 승무원의 말을 듣는 것은 그들이 거짓말이 아닌 사람들이기 때문에 항상 존재한다고 믿었습니다.
dunbarton.austeyn.201	록키는 영웅에 관한 노래이며, 영웅들은이 책에서 위대한 업적을 기록했습니다. 대부분의 사람들은 노래로 그들을 그리워합니다. <p/>이것이 아주 좋다고 생각하니?
dunbarton.austeyn.202	마을 입구를 지나면 농지가 넓어집니다. <p/>... 너 봤니? 그것은 큰 것이 아닌가? <p/>하지만 최근에는 너무 많은 큰 쥐가있어서 정말 걱정 스럽습니다.
dunbarton.austeyn.203	Arias Creek ...은 북쪽의 Youlede 지역에서 흘러 내리는 물줄기입니다.
dunbarton.austeyn.204	마을? 여기 마을처럼? 하하하 ... 마을 머리? 하하하 ...
dunbarton.austeyn.205	아하! 무슨 상관이야? 내 마음에 문제가 있습니까? 이번에는 하나님 께 불평하는 영적인 생계를 구할 것입니다. <p/>크리스찬 누이를 찾아 가서 도와달라고 부탁합니다. 하하하!
dunbarton.austeyn.206	학교는 광장 건너편에 있고, 곧장 갈 수 없으며, 주변을 돌아 다니고 싶어합니다. <p/>또한 무술 선생님 인 알랭 (Alain)이은 갑옷을 입고 학교 앞에 서 있다고 말합니다.
dunbarton.austeyn.207	스코어는 식료품 점에서 구입할 수 있으며 월트 (Walt)에 가서 볼 수 있습니다.
dunbarton.austeyn.208	하하 ... 만약 전투 관련 기술이라면 학교 무술 선생님에게 가서 물어보세요 ~
dunbarton.austeyn.209	음, 점심 먹고 싶어? ...이 도시에서 점심을 먹는다고 ... <p/>오, 아마도 알고 있습니다. 이 드레스를 안경을 쓰고 검은 머리를 가진 여자 여야합니다. 하하하 ... <p/>... 그 사람을받은 것도 매우 분명합니다? 하하하 ~
dunbarton.austeyn.210	음, 점심 먹고 싶어? ...이 도시에서 점심을 먹는다고 ... <p/>오, 아마도 알고 있습니다. 이 드레스를 안경을 쓰고 검은 머리를 가진 여자 여야합니다. 하하하 ... <p/>... 그 사람을받은 것도 매우 분명합니다? 하하하 ~
dunbarton.austeyn.211	모르는 사람은 학교에 가서 스튜어트를 찾으십시오. ... 그는 모든 것을 알고 있습니다 ...
dunbarton.austeyn.212	내 이름은 Austin, 뭐라고 부르니?? <username/>? 오, <username/>... <username/>...
