iria_elf.subnpc.elf_familyguide.1	가족 보좌관이 나타났습니다.
iria_giant.taunes.25	무기를 보면 그 주인은 아는 것이다…<br/>너는… <username/>? <username/>일 것이다? <br/>훅… 역시 나의 감각은 잘못되어 있지 않았던 것 같다.
iria_giant.taunes.26	응? 뭔가 도운 것이라도 있을까?
iria_giant.taunes.27	오늘은 어떻게 했어? <username/>.
iria_giant.taunes.28	크루크 폐하의 칙명이다…. <br/>자이언트를 지지한 인간에게는<br/>상품을 다소 깎고 있다.
iria_giant.taunes.29	필요한 무기가 있다면 봐라.
iria_giant.taunes.30	<npcportrait name='NONE'/><title name='NONE'/>타우네스와의 회화를 끝냈다.
iria_giant.taunes.31	무기를 만드는 기술에 대해 알고 싶은 것인지? <br/>그렇다… 그럼, 무기를 만드는 재료를 제련하는<br/>제련 스킬로부터 가르쳐 주자. <p/>누베스 산맥의 안쪽 깊은 지하 미로에 광석이 있다. <br/>곡괭이를 사용하면 철광석을 팔 수가 있기 때문에…<br/>철광석을 5개 정도파 와 봐라. <br/>그렇게 하면 제련 스킬을 가르쳐 주겠어.
iria_giant.taunes.32	목록에 빈 곳이 없어.
iria_giant.taunes.33	철광석은 누베스 산맥의 지하 미로에서 발견된다. <br/>곡괭이를 사용하면 개간할 수 있을 것이다.
iria_giant.taunes.34	그리고…
iria_giant.taunes.35	대장장이 스킬에 대해 가르쳐 주자. <br/>제련 스킬로 만든 아이언 잉곳 따위의 재료를 사용해<br/>도면에 그려진 것을 만드는 스킬이다. <br/>대장장이 스킬을 사용하면, 검이나 방패, 갑옷을 만들 수가 있다. <p/>비용과 시간이 걸리지만,<br/>그 만큼의 가치는 충분히 있을 것이다.
iria_giant.taunes.36	대장장이 스킬이라는 것이 있다. <br/>대장장이대와 대장간의 쇠망치를 사용해<br/>아이언 잉곳을 취급하는 것을 만드는 기술이다. <p/>우선 대장간의 쇠망치를 사 보면 좋을 것이다. <br/>쇠망치를 통해, 대장장이의 감각을 몸에 익힐 수가 있을거니까.
iria_giant.taunes.37	무기 만들기는 어때? <br/>자신에게 맞고 있는 것 같으면<br/>계속해 보는 것도 나쁘지는 않을 것이다.
iria_giant.taunes.38	피시스쟈이안트 만이 아니다. <br/>무기를 만드는 과정 자체는<br/>어느 종족도 그렇게 굉장한 차이는 없다.
iria_giant.taunes.39	잡화점은 장사가 잘되지 않고<br/>의료품점에 흡수된 것 같다…. <br/>그런데 의료품점의 제… 디, 제디였는지? <p/>어쨌든 그 애송이…<br/>최근 이 근처를 이상한 표정으로<br/>소곤소곤 배회해서는 사라지지만…<br/>고철에서도 훔치려고 하고 있는지…?
iria_giant.taunes.40	식료품점은 없지만, 술집이라면 있다. <br/>「반스트 아저씨의 제이바르슈」라고 말해<br/>요리의 재료 따위도 팔고 있는 것 같지만….
iria_giant.taunes.41	… 키리네 여왕…. <p/>나는 다만… 바슈바르 왕가에게로의 충성심이기 때문에<br/>그 분을 시중들고 있었을 뿐이다. <p/>다만… 그것뿐이다.
iria_giant.taunes.42	피시스의 재상인 바이데님이 담당되고 있다. <br/>바이데님의 이것까지의 자이언트에게로의 공적을 알면,<br/>누구라도 외경의 생각을 가질 것이다.
iria_giant.taunes.43	지금의 이 일상이, 나에게 있어서의 휴게다. <p/>이것까지 많은 것을 잃었지만,<br/>나로서도 잘 여기까지 가져 오래 살아 온 것이다. <br/>지금은, 전장에 있었을 무렵과는 다른…<br/>제 2의 인생을 걷고 있는 것 같은 기분이다.
iria_giant.taunes.44	미안하지만, 전투에 관한 이야기는<br/>당분간 하고 싶지는 않다. <br/>하지만… 언젠가는, 나의 이 기술을<br/>누군가에게 전해 주지 않으면이라고는 생각하고 있다.
iria_giant.taunes.45	활은 우리에게 적합한 무기는 아니지만<br/>원거리 공격이 뛰어난 좋은 무기다. <p/>물론, 엘프를 상징하는 무기이니까인가,<br/>활을 싫어하는 자이언트도 많다.
iria_giant.taunes.46	매그넘 쇼트… 그 위력은 잘 알고 있지만…<br/>전투에 관한 이야기는 당분간 하고 싶지는 않다. <br/>하지만… 언젠가는, 나의 이 기술을<br/>누군가에게 전해 주지 않으면이라고는 생각하고 있다.
iria_giant.taunes.47	미안하지만, 전투에 관한 이야기는 당분간 하고 싶지는 않다.
iria_giant.taunes.48	미안하지만, 전투에 관한 이야기는 당분간 하고 싶지는 않다.
iria_giant.taunes.49	의혹? … 무슨 일이야?
iria_giant.taunes.50	광장이라면, 여기로부터 그만큼 멀지는 않다. <br/>항상 사람들로 활기차 있는 장소다. <p/>옛날은 좀 더 사람이 많은 곳이었던 것이지만,<br/>바레스의 경계가 강화되고 나서는<br/>너무 옛날정도의 활기는 없어졌군.
iria_giant.taunes.51	티르나노이? <br/>나의 모르는 다른 세계의 이야기인 것 같다.
iria_giant.taunes.52	저수지? <br/>물을 모으는 시설의 일인가?
iria_giant.taunes.53	크루크 폐하의 존재가<br/>피시스쟈이안트를 하나로 정리하고 계신다. <br/>폐하가 계시지 않으면 아마, 엘프와의 오랜 세월에 걸치는 전쟁을<br/>오늘까지 계속되지 않았을 것이다. <p/>… 바슈바르 왕가를 위해서 해야 할<br/>나의 책무는 모두 완수했다고 생각하고 있지만…<br/>지금도, 크루크 폐하의 그 점만은<br/>마음 속에서 외경의 생각으로서 남아 있다.
iria_giant.taunes.54	전투에 관한 이야기는 당분간 하고 싶지는 않다. <br/>하지만… 언젠가는, 나의 이 기술을<br/>누군가에게 전해 주지 않으면이라고는 생각하고 있다.
iria_giant.taunes.55	캠프 파이어 스킬인가…. <br/>잘 야전에서 사용한 것이다. <br/>전장을 떠나고 나서는, 너무 사용하는 일도 없어졌지만.
iria_giant.taunes.56	무기가게인가? 그렇다면 여기가 무기가게다. <br/>잘 왔군.
iria_giant.taunes.57	그다지 옷에 구애됨은 없구나…. <br/>그런데 의료품점의 제… 두, 제두였는지? <p/>어쨌든 그 애송이, 최근 이 근처를 이상한 표정으로<br/>배회해서는 사라지지만…. <br/>고철에서도 생기잃을 수 있으려고 하고 있을까…. <p/>확실히 나의 시력은 좋지 않지만,<br/>과연 그 정도는 식별할 수 있다. <br/>빈번하게 보이기 때문에, 신경이 쓰이고는 있지만….
iria_giant.taunes.58	최근에는 더욱 더 시력이 떨어져 내려<br/>문자를 읽는 것이 괴로워져 왔지만…<br/>할 수 있으면, 시력이 조금이라도 남아 있는 동안에<br/>많은 일을 배워 두고 싶다고 생각해서 말이야. <p/>가능한 한 책은 읽도록하고 있다.
iria_giant.taunes.59	응? 나오…? <br/>어디선가 들었던 적이 있지만…. <br/>부르기 쉬운 이름이니까… 일까….
iria_giant.taunes.60	이 가슴의 근육인가? <br/>특히… 뭔가 특별한 훈련을 했다고 하는 일은 없다. <br/>팔굽혀펴기 정도다. <br/>하지만, 어떤 날이라도 빠뜨리지 않고 한 것이다.
iria_giant.taunes.61	옛날은… 나의 묘지는,<br/>검은 연기가 자욱하는 전장의 구석 근처일거라고 생각하고 있었지만,<br/>최근, 평온한 나날을 보내고 있으면,<br/>좀 더 다른 죽을 곳도 있는 것 같은 생각이 들어 온다. <p/>인생이란, 그렇게 항상 간단한 것도 아니기 때문에.
iria_giant.taunes.62	이따금… 혼자 있고 싶을 때는,<br/>레우스강의 부근에서 낚시를 하는 일이 있다. <br/>낚싯대를 내 다만 조용하게 기다리는… 그 시간을 좋아한다.
iria_giant.taunes.63	나오…? <br/>어디선가 잘 들은 것이 있는 이름인 것이지만…. <br/>아무튼, 가장, 하루종일 이렇게 하고 있으면<br/>평상시 신경쓰지 않는 것 같은 소리라도 기억하게 되지만.
iria_giant.taunes.64	어떤 검을 가지고 있을까… 그런 일보다,<br/>그 검을 어떻게 취급할까… 그것이 큰 일이다. <br/>작은 불길마저, 그 취급하는 방법에 따라서는<br/>천하의 명검 이상의 위력을 발하는 것이니까…. |시력의 저하… 그것만이 이유로써<br/>전장을 떠난 것은 아니다. <br/>정직, 훨씬 이전부터 은퇴는 생각하고 있었다. <p/>언제부터인가… 모든 일이 이상해져 갔다. <br/>단지, 바슈바르 왕가의 욕망만이 원인은 아니다. <br/>싸움은 거짓말로 은폐 계속 되어, 그 거짓말은 다시 분쟁을 불러일으킨다…. <br/>끝의 안보이는 악순환이었던 것이다…. |… 어느 날, 한명의 남자의 갓난아기가,<br/>차가운 눈의 땅에 버려지고 있었다. <p/>굶어… 더러워져…<br/>게다가 심한 병까지 병을 앓고 있던 갓난아기는<br/>막 사냥하러 나온 마을이 노쇠해진 사냥꾼에,<br/>기적적으로 발견되었다. <p/>평상시라면, 이런 불길한 갓난아기는 들개의 먹이로 했을 것이다가<br/>그 날에 한해서, 노쇠함은 왠지 갓난아기를 도왔다. <br/>결코 그가 평상시부터 인정많은 선인이었기 때문에는 아니다. <p/>오히려, 나날술과… 폭력을 반복해, 잔인함으로 말하면,<br/>그 사테로스와 비교할 수 있을 정도의 악명을 떨치고 있던 것이다…. <br/>훅… 혹시 나이의 탓으로, 일시적으로 판단이<br/>무디어졌을 뿐일지도 모르지만. <p/>… 갓난아기는, 그런 노쇠함의 변덕으로<br/>죽음의 늪으로부터 피할 수가 있었지만,<br/>대신에, 죽음보다 심한… 지옥과 같은 생활이 기다리고 있었다. <p/>때가 흐름… 갓난아기의 컨디션은 조금씩 회복해<br/>─그리고, 소년이 되었다. <br/>그의 정확한 나이는 몰랐지만,<br/>동년대의 아이들보다는 2·3세는 위로 보였다. <p/>노쇠해진 사냥꾼은, 그를 동물과 같이 취급했다. <br/>눈의 내리는 날은, 사냥감을 잡아에 맨발로 차가운 눈의 땅을 달리게 되어져,<br/>노쇠함이 취해 거칠어진 날은 의미도 없게 맞았다. <p/>하지만, 마을의 사람들은 모두, 그에게 관련되려고 하지 않았다. <br/>그는… 살아남기 위해서 필요한 방법을 배우는 것으로<br/>그 악몽으로부터 당신의 몸을 지킬 수 밖에 없었다…. <p/>… 그렇게 해서 그는 살아남았다. <br/>벌써, 힘이 약했던 무렵의 소년이 아닌…<br/>1인분의… 자이언트의 전사가 되어 있던 것이다. |시력을 잃어 가는 것을 주위는 비관적으로 보지만,<br/>의외로 그렇지도 않다. <br/>그렇다… 지금까지의 세계와는 완전히 다른 어디선가<br/>다시 태어난 것 같은, 그런 느낌이다. <p/>색은 희미해지지만, 반대로 소리에는 민감하게 된다. <br/>처음은 익숙해지지 않고 고생하지만,<br/>조금 하면, 그런 생활에도 곧바로 익숙해져 오는 것이야. |시력은 지금은 그렇게 좋을 것은 아니지만, 검을 가질 수 없을 정도는 아니다. <br/>… 뭐, 비록 전혀 안보이게 되었다고 해도<br/>우리 검바스티안이 남기는 검의 궤적으로부터,<br/>상대의 위치 정도는 추측할 수 있다. <p/>게다가, 어깨에 인간이 타고 있어 준다면, 그 눈을 빌려<br/>정확한 공격 포인트를 잡는 것 정도 문제없다. <br/>그렇게… 나는, 나의 의사로 검을 가지지 않는 것뿐이다. <br/>지금도 나의 무술의 팔은, 바스티안의 칼날과 같이 날카로운 채다. |내가 무술을 시작한 것은,<br/>단지 그저 자신의 검을 가지고 싶었기 때문이다. <br/>처음은 검 따위 들어 올려지지 않을 정도(수록) 힘이 약했지만,<br/>그렇게 작은 계기가, 지금의 나를 만들어낸 것이다. |나의 존재는, 햇빛의 빛으로 당장이라도 녹아 사라져 버리는 것 같은,<br/>그렇게 작은 얼음의 조각과 같은 것이다. <p/>다만, 언제 물이 되어… 형태를 잃어 버릴까는 모르지만,<br/>항상 그 몸이 수정과 같이 투명해… 날카로운 빛을 발할 수 있도록<br/>나날 수행은 게을리하지 않도록 하고 있는 거야. |나는 이제(벌써), 바슈바르 왕가에게는 따르지 않아. <br/>… 그렇다고 해서 종족을 배반하고 있는 것은 아니다. <br/>다만, 지금의 이 전쟁의 의미를 모르게 된 것 뿐이다…. <p/>훅… 시력의 저하는 좋은 구실이 되었다. <br/>이렇게 해 나를 번거롭게 할 수 있는 군으로부터 멀어질 수가 있던 것이니까.
iria_giant.taunes.65	시력을 잃어 가는 것을 주위는 비관적으로 보지만,<br/>의외로 그렇지도 않다. <br/>그렇다… 지금까지의 세계와는 완전히 다른 어디선가<br/>다시 태어난 것 같은, 그런 느낌이다. <p/>색은 희미해지지만, 반대로 소리에는 민감하게 된다. <br/>처음은 익숙해지지 않고 고생하지만,<br/>조금 하면, 그런 생활에도 곧바로 익숙해져 오는 것이야. |시력은 지금은 그렇게 좋을 것은 아니지만, 검을 가질 수 없을 정도는 아니다. <br/>… 뭐, 비록 전혀 안보이게 되었다고 해도<br/>우리 검바스티안이 남기는 검의 궤적으로부터,<br/>상대의 위치 정도는 추측할 수 있다. <p/>게다가, 어깨에 인간이 타고 있어 준다면, 그 눈을 빌려<br/>정확한 공격 포인트를 잡는 것 정도 문제없다. <br/>그렇게… 나는, 나의 의사로 검을 가지지 않는 것뿐이다. <br/>지금도 나의 무술의 팔은, 바스티안의 칼날과 같이 날카로운 채다. |내가 무술을 시작한 것은,<br/>단지 그저 자신의 검을 가지고 싶었기 때문이다. <br/>처음은 검 따위 들어 올려지지 않을 정도(수록) 힘이 약했지만,<br/>그렇게 작은 계기가, 지금의 나를 만들어낸 것이다. |나의 존재는, 햇빛의 빛으로 당장이라도 녹아 사라져 버리는 것 같은,<br/>그렇게 작은 얼음의 조각과 같은 것이다. <p/>다만, 언제 물이 되어… 형태를 잃어 버릴까는 모르지만,<br/>항상 그 몸이 수정과 같이 투명해… 날카로운 빛을 발할 수 있도록<br/>나날 수행은 게을리하지 않도록 하고 있는 거야. |나는 이제(벌써), 바슈바르 왕가에게는 따르지 않아. <br/>… 그렇다고 해서 종족을 배반하고 있는 것은 아니다. <br/>다만, 지금의 이 전쟁의 의미를 모르게 된 것 뿐이다…. <p/>훅… 시력의 저하는 좋은 구실이 되었다. <br/>이렇게 해 나를 번거롭게 할 수 있는 군으로부터 멀어질 수가 있던 것이니까.
iria_giant.taunes.66	어떤 검을 가지고 있을까… 그런 일보다,<br/>그 검을 어떻게 취급할까… 그것이 큰 일이다. <br/>작은 불길마저, 그 취급하는 방법에 따라서는<br/>천하의 명검 이상의 위력을 발하는 것이니까…. |시력의 저하… 그것만이 이유로써<br/>전장을 떠난 것은 아니다. <br/>정직, 훨씬 이전부터 은퇴는 생각하고 있었다. <p/>언제부터인가… 모든 일이 이상해져 갔다. <br/>단지, 바슈바르 왕가의 욕망만이 원인은 아니다. <br/>싸움은 거짓말로 은폐 계속 되어, 그 거짓말은 다시 분쟁을 불러일으킨다…. <br/>끝의 안보이는 악순환이었던 것이다…. |… 어느 날, 한명의 남자의 갓난아기가,<br/>차가운 눈의 땅에 버려지고 있었다. <p/>굶어… 더러워져…<br/>게다가 심한 병까지 병을 앓고 있던 갓난아기는<br/>막 사냥하러 나온 마을이 노쇠해진 사냥꾼에,<br/>기적적으로 발견되었다. <p/>평상시라면, 이런 불길한 갓난아기는 들개의 먹이로 했을 것이다가<br/>그 날에 한해서, 노쇠함은 왠지 갓난아기를 도왔다. <br/>결코 그가 평상시부터 인정많은 선인이었기 때문에는 아니다. <p/>오히려, 나날술과… 폭력을 반복해, 잔인함으로 말하면,<br/>그 사테로스와 비교할 수 있을 정도의 악명을 떨치고 있던 것이다…. <br/>훅… 혹시 나이의 탓으로, 일시적으로 판단이<br/>무디어졌을 뿐일지도 모르지만. <p/>… 갓난아기는, 그런 노쇠함의 변덕으로<br/>죽음의 늪으로부터 피할 수가 있었지만,<br/>대신에, 죽음보다 심한… 지옥과 같은 생활이 기다리고 있었다. <p/>때가 흐름… 갓난아기의 컨디션은 조금씩 회복해<br/>─그리고, 소년이 되었다. <br/>그의 정확한 나이는 몰랐지만,<br/>동년대의 아이들보다는 2·3세는 위로 보였다. <p/>노쇠해진 사냥꾼은, 그를 동물과 같이 취급했다. <br/>눈의 내리는 날은, 사냥감을 잡아에 맨발로 차가운 눈의 땅을 달리게 되어져,<br/>노쇠함이 취해 거칠어진 날은 의미도 없게 맞았다. <p/>하지만, 마을의 사람들은 모두, 그에게 관련되려고 하지 않았다. <br/>그는… 살아남기 위해서 필요한 방법을 배우는 것으로<br/>그 악몽으로부터 당신의 몸을 지킬 수 밖에 없었다…. <p/>… 그렇게 해서 그는 살아남았다. <br/>벌써, 힘이 약했던 무렵의 소년이 아닌…<br/>1인분의… 자이언트의 전사가 되어 있던 것이다. |시력을 잃어 가는 것을 주위는 비관적으로 보지만,<br/>의외로 그렇지도 않다. <br/>그렇다… 지금까지의 세계와는 완전히 다른 어디선가<br/>다시 태어난 것 같은, 그런 느낌이다. <p/>색은 희미해지지만, 반대로 소리에는 민감하게 된다. <br/>처음은 익숙해지지 않고 고생하지만,<br/>조금 하면, 그런 생활에도 곧바로 익숙해져 오는 것이야. |시력은 지금은 그렇게 좋을 것은 아니지만, 검을 가질 수 없을 정도는 아니다. <br/>… 뭐, 비록 전혀 안보이게 되었다고 해도<br/>우리 검바스티안이 남기는 검의 궤적으로부터,<br/>상대의 위치 정도는 추측할 수 있다. <p/>게다가, 어깨에 인간이 타고 있어 준다면, 그 눈을 빌려<br/>정확한 공격 포인트를 잡는 것 정도 문제없다. <br/>그렇게… 나는, 나의 의사로 검을 가지지 않는 것뿐이다. <br/>지금도 나의 무술의 팔은, 바스티안의 칼날과 같이 날카로운 채다. |내가 무술을 시작한 것은,<br/>단지 그저 자신의 검을 가지고 싶었기 때문이다. <br/>처음은 검 따위 들어 올려지지 않을 정도(수록) 힘이 약했지만,<br/>그렇게 작은 계기가, 지금의 나를 만들어낸 것이다. |나의 존재는, 햇빛의 빛으로 당장이라도 녹아 사라져 버리는 것 같은,<br/>그렇게 작은 얼음의 조각과 같은 것이다. <p/>다만, 언제 물이 되어… 형태를 잃어 버릴까는 모르지만,<br/>항상 그 몸이 수정과 같이 투명해… 날카로운 빛을 발할 수 있도록<br/>나날 수행은 게을리하지 않도록 하고 있는 거야. |나는 이제(벌써), 바슈바르 왕가에게는 따르지 않아. <br/>… 그렇다고 해서 종족을 배반하고 있는 것은 아니다. <br/>다만, 지금의 이 전쟁의 의미를 모르게 된 것 뿐이다…. <p/>훅… 시력의 저하는 좋은 구실이 되었다. <br/>이렇게 해 나를 번거롭게 할 수 있는 군으로부터 멀어질 수가 있던 것이니까.
iria_giant.taunes.67	급한 용무가 아니면 뒤로 해 줘.
iria_giant.taunes.68	지금은 이야기하는 기분은 아니다.
iria_giant.taunes.69	시력의 저하… 그것만이 이유로써<br/>전장을 떠난 것은 아니다. <br/>정직, 훨씬 이전부터 은퇴는 생각하고 있었다. <p/>언제부터인가… 모든 일이 이상해져 갔다. <br/>단지, 바슈바르 왕가의 욕망만이 원인은 아니다. <br/>싸움은 거짓말로 은폐 계속 되어, 그 거짓말은 다시 분쟁을 불러일으킨다…. <br/>끝의 안보이는 악순환이었던 것이다…. |… 어느 날, 한명의 남자의 갓난아기가,<br/>차가운 눈의 땅에 버려지고 있었다. <p/>굶어… 더러워져…<br/>게다가 심한 병까지 병을 앓고 있던 갓난아기는<br/>막 사냥하러 나온 마을이 노쇠해진 사냥꾼에,<br/>기적적으로 발견되었다. <p/>평상시라면, 이런 불길한 갓난아기는 들개의 먹이로 했을 것이다가<br/>그 날에 한해서, 노쇠함은 왠지 갓난아기를 도왔다. <br/>결코 그가 평상시부터 인정많은 선인이었기 때문에는 아니다. <p/>오히려, 나날술과… 폭력을 반복해, 잔인함으로 말하면,<br/>그 사테로스와 비교할 수 있을 정도의 악명을 떨치고 있던 것이다…. <br/>훅… 혹시 나이의 탓으로, 일시적으로 판단이<br/>무디어졌을 뿐일지도 모르지만. <p/>… 갓난아기는, 그런 노쇠함의 변덕으로<br/>죽음의 늪으로부터 피할 수가 있었지만,<br/>대신에, 죽음보다 심한… 지옥과 같은 생활이 기다리고 있었다. <p/>때가 흐름… 갓난아기의 컨디션은 조금씩 회복해<br/>─그리고, 소년이 되었다. <br/>그의 정확한 나이는 몰랐지만,<br/>동년대의 아이들보다는 2·3세는 위로 보였다. <p/>노쇠해진 사냥꾼은, 그를 동물과 같이 취급했다. <br/>눈의 내리는 날은, 사냥감을 잡아에 맨발로 차가운 눈의 땅을 달리게 되어져,<br/>노쇠함이 취해 거칠어진 날은 의미도 없게 맞았다. <p/>하지만, 마을의 사람들은 모두, 그에게 관련되려고 하지 않았다. <br/>그는… 살아남기 위해서 필요한 방법을 배우는 것으로<br/>그 악몽으로부터 당신의 몸을 지킬 수 밖에 없었다…. <p/>… 그렇게 해서 그는 살아남았다. <br/>벌써, 힘이 약했던 무렵의 소년이 아닌…<br/>1인분의… 자이언트의 전사가 되어 있던 것이다. |시력을 잃어 가는 것을 주위는 비관적으로 보지만,<br/>의외로 그렇지도 않다. <br/>그렇다… 지금까지의 세계와는 완전히 다른 어디선가<br/>다시 태어난 것 같은, 그런 느낌이다. <p/>색은 희미해지지만, 반대로 소리에는 민감하게 된다. <br/>처음은 익숙해지지 않고 고생하지만,<br/>조금 하면, 그런 생활에도 곧바로 익숙해져 오는 것이야. |시력은 지금은 그렇게 좋을 것은 아니지만, 검을 가질 수 없을 정도는 아니다. <br/>… 뭐, 비록 전혀 안보이게 되었다고 해도<br/>우리 검바스티안이 남기는 검의 궤적으로부터,<br/>상대의 위치 정도는 추측할 수 있다. <p/>게다가, 어깨에 인간이 타고 있어 준다면, 그 눈을 빌려<br/>정확한 공격 포인트를 잡는 것 정도 문제없다. <br/>그렇게… 나는, 나의 의사로 검을 가지지 않는 것뿐이다. <br/>지금도 나의 무술의 팔은, 바스티안의 칼날과 같이 날카로운 채다. |내가 무술을 시작한 것은,<br/>단지 그저 자신의 검을 가지고 싶었기 때문이다. <br/>처음은 검 따위 들어 올려지지 않을 정도(수록) 힘이 약했지만,<br/>그렇게 작은 계기가, 지금의 나를 만들어낸 것이다. |나의 존재는, 햇빛의 빛으로 당장이라도 녹아 사라져 버리는 것 같은,<br/>그렇게 작은 얼음의 조각과 같은 것이다. <p/>다만, 언제 물이 되어… 형태를 잃어 버릴까는 모르지만,<br/>항상 그 몸이 수정과 같이 투명해… 날카로운 빛을 발할 수 있도록<br/>나날 수행은 게을리하지 않도록 하고 있는 거야. |나는 이제(벌써), 바슈바르 왕가에게는 따르지 않아. <br/>… 그렇다고 해서 종족을 배반하고 있는 것은 아니다. <br/>다만, 지금의 이 전쟁의 의미를 모르게 된 것 뿐이다…. <p/>훅… 시력의 저하는 좋은 구실이 되었다. <br/>이렇게 해 나를 번거롭게 할 수 있는 군으로부터 멀어질 수가 있던 것이니까.
iria_giant.taunes.70	어떤 검을 가지고 있을까… 그런 일보다,<br/>그 검을 어떻게 취급할까… 그것이 큰 일이다. <br/>작은 불길마저, 그 취급하는 방법에 따라서는<br/>천하의 명검 이상의 위력을 발하는 것이니까…. |시력의 저하… 그것만이 이유로써<br/>전장을 떠난 것은 아니다. <br/>정직, 훨씬 이전부터 은퇴는 생각하고 있었다. <p/>언제부터인가… 모든 일이 이상해져 갔다. <br/>단지, 바슈바르 왕가의 욕망만이 원인은 아니다. <br/>싸움은 거짓말로 은폐 계속 되어, 그 거짓말은 다시 분쟁을 불러일으킨다…. <br/>끝의 안보이는 악순환이었던 것이다…. |… 어느 날, 한명의 남자의 갓난아기가,<br/>차가운 눈의 땅에 버려지고 있었다. <p/>굶어… 더러워져…<br/>게다가 심한 병까지 병을 앓고 있던 갓난아기는<br/>막 사냥하러 나온 마을이 노쇠해진 사냥꾼에,<br/>기적적으로 발견되었다. <p/>평상시라면, 이런 불길한 갓난아기는 들개의 먹이로 했을 것이다가<br/>그 날에 한해서, 노쇠함은 왠지 갓난아기를 도왔다. <br/>결코 그가 평상시부터 인정많은 선인이었기 때문에는 아니다. <p/>오히려, 나날술과… 폭력을 반복해, 잔인함으로 말하면,<br/>그 사테로스와 비교할 수 있을 정도의 악명을 떨치고 있던 것이다…. <br/>훅… 혹시 나이의 탓으로, 일시적으로 판단이<br/>무디어졌을 뿐일지도 모르지만. <p/>… 갓난아기는, 그런 노쇠함의 변덕으로<br/>죽음의 늪으로부터 피할 수가 있었지만,<br/>대신에, 죽음보다 심한… 지옥과 같은 생활이 기다리고 있었다. <p/>때가 흐름… 갓난아기의 컨디션은 조금씩 회복해<br/>─그리고, 소년이 되었다. <br/>그의 정확한 나이는 몰랐지만,<br/>동년대의 아이들보다는 2·3세는 위로 보였다. <p/>노쇠해진 사냥꾼은, 그를 동물과 같이 취급했다. <br/>눈의 내리는 날은, 사냥감을 잡아에 맨발로 차가운 눈의 땅을 달리게 되어져,<br/>노쇠함이 취해 거칠어진 날은 의미도 없게 맞았다. <p/>하지만, 마을의 사람들은 모두, 그에게 관련되려고 하지 않았다. <br/>그는… 살아남기 위해서 필요한 방법을 배우는 것으로<br/>그 악몽으로부터 당신의 몸을 지킬 수 밖에 없었다…. <p/>… 그렇게 해서 그는 살아남았다. <br/>벌써, 힘이 약했던 무렵의 소년이 아닌…<br/>1인분의… 자이언트의 전사가 되어 있던 것이다. |시력을 잃어 가는 것을 주위는 비관적으로 보지만,<br/>의외로 그렇지도 않다. <br/>그렇다… 지금까지의 세계와는 완전히 다른 어디선가<br/>다시 태어난 것 같은, 그런 느낌이다. <p/>색은 희미해지지만, 반대로 소리에는 민감하게 된다. <br/>처음은 익숙해지지 않고 고생하지만,<br/>조금 하면, 그런 생활에도 곧바로 익숙해져 오는 것이야. |시력은 지금은 그렇게 좋을 것은 아니지만, 검을 가질 수 없을 정도는 아니다. <br/>… 뭐, 비록 전혀 안보이게 되었다고 해도<br/>우리 검바스티안이 남기는 검의 궤적으로부터,<br/>상대의 위치 정도는 추측할 수 있다. <p/>게다가, 어깨에 인간이 타고 있어 준다면, 그 눈을 빌려<br/>정확한 공격 포인트를 잡는 것 정도 문제없다. <br/>그렇게… 나는, 나의 의사로 검을 가지지 않는 것뿐이다. <br/>지금도 나의 무술의 팔은, 바스티안의 칼날과 같이 날카로운 채다. |내가 무술을 시작한 것은,<br/>단지 그저 자신의 검을 가지고 싶었기 때문이다. <br/>처음은 검 따위 들어 올려지지 않을 정도(수록) 힘이 약했지만,<br/>그렇게 작은 계기가, 지금의 나를 만들어낸 것이다. |나의 존재는, 햇빛의 빛으로 당장이라도 녹아 사라져 버리는 것 같은,<br/>그렇게 작은 얼음의 조각과 같은 것이다. <p/>다만, 언제 물이 되어… 형태를 잃어 버릴까는 모르지만,<br/>항상 그 몸이 수정과 같이 투명해… 날카로운 빛을 발할 수 있도록<br/>나날 수행은 게을리하지 않도록 하고 있는 거야. |나는 이제(벌써), 바슈바르 왕가에게는 따르지 않아. <br/>… 그렇다고 해서 종족을 배반하고 있는 것은 아니다. <br/>다만, 지금의 이 전쟁의 의미를 모르게 된 것 뿐이다…. <p/>훅… 시력의 저하는 좋은 구실이 되었다. <br/>이렇게 해 나를 번거롭게 할 수 있는 군으로부터 멀어질 수가 있던 것이니까.
