iria_human.heulfryn.1	[0]포션
taillteann.brenda.131	예상외의 선물이군요. 감사합니다. |그저 마음에 들었습니다. |감사합니다.
taillteann.brenda.132	아… 곤란하네요. 어째서 이것을 나에게? |이런 선물은… 뭔가 타의가 있을까? |나를 조롱하고 있습니까?
taillteann.brenda.133	… 여신을 구출했다니… 좋은 일을 되었어요…
taillteann.brenda.134	… 에린을 수호한 것입니까? 감사합니다….
taillteann.brenda.135	어머나, 그 꽃의 이름은 제비꽃이라고 합니까? <br/>처음 보는 꽃은 아닙니다만 훨씬 이상하다 하고 생각하고 있었습니다. 이름은 처음으로 묻습니다. <p/>그 묘는 레이나씨의 묘입니다. <br/>음, 베이릭크시드 할아버지는 아시는 바군요? <br/>마을의 밖에서 혼자서 살고 계시는 조금 괴짜의 할아버지입니다. <br/>레이나씨는 그 할아버지의 손녀입니다만, 매우 상냥하고 예쁜 누나였습니다. <br/>정말 질투해 버릴 정도로 예뻐… 에서도 몸이 매우 약해서…<p/>누나가 죽었을 때, 약혼자의 오빠가 얼마나 슬픈 듯이 울고 있었는지…<br/>정말로 딱해 보고 있을 수 없었습니다. <p/>그렇지만 누나는 정말로 행운아라고 생각합니다. <br/>매일꽃을 가지고 와 주어… 쭉 생각하고 있어 주는 연인이 있다니<br/>어쩐지 세계의 모든 여성이 받는 사랑을 독점하고 있는 것 같이 생각하지 않습니까? <p/>… 가끔 누나가 지금도 건강하게 살아 있으면 아무리 좋았던 것 되고 생각합니다…<br/>그렇게 예쁘고 상냥해서, 진심으로 사랑해 주는 사람이 있어…<br/>신님도 참 시기해 데려 갔지 않을까…
taillteann.collen.1	콜헨이 로그인했습니다.
taillteann.collen.2	TaillteannShop_Collen
taillteann.collen.3	콜헨의 상점 생성에 성공했습니다.
taillteann.collen.4	[0]선물용
taillteann.collen.5	코렌의 상점 생성에 실패했습니다.
taillteann.collen.6	라이미라크신의 축복이 있는 일을…|연금술도 또 라이미라크의 의지일 것이다. |때로는 보수적인 입장을 나타낼 수 밖에 없는 것이 종교다. |드디어 법황청으로부터 서신이 도착했는지…|나도 사제이기 전에 한사람의 인간이라고 하는 일이나…|라이미라크의 축복이 함께 있는 일을.
taillteann.collen.7	[0]선물용
taillteann.collen.8	(말이 통하지 않는 것 같다.)
taillteann.collen.9	<npcportrait name='NONE'/><title name='NONE'/>정면을 응시하는 시선은 거기를 비추는것 같이 선명히 씻어지고 있다. <br/>겹겹이 겹친 마른 침묵이 오랜 세월의 비밀을 모두 감싸는것 같이 그 자리를 지배하고 있다. <br/><button title='계속한다' keyword='@continue'/>
taillteann.collen.10	현재 제나는 상처의 치료중이다. <br/>어쨌든… 그녀에게 레이 모어가 무사하다고 하는 통지를<br/>전할 수가 있어 무엇보다다. <p/>너에게는 전달해 두는 편이 좋을 것이다. <br/>… 나와 제나의 인연은 이멘마하의 참극까지 거슬러 올라간다. <br/>당시 가족을 잃어 고아가 된 그녀를 나는 성당 기사단으로 이끌었다. <br/>지금에 하고 생각하면, 당시의 나의 선택이 과연 올발랐던 것일까… 확신 할 수 없다. <br/>그러나 그 무렵의 나는 법황청에 소속하는 성당 기사이며, 기사의 길에 충실했던 것이다. <p/>… 레이 모어와 제나…<br/>만약 세상에 운명의 실 이라는 것이 있다고 하면<br/>그들의 사이에 얼마나 많은 실이 복잡하게 얽히고 있는지, 상상조차 할 수 없다. <br/>저것이야말로 정말로 사랑의 신오그스가 묶어 준 인연으로 밖에…<button title='계속한다' keyword='@continue'/>
taillteann.collen.11	좋지 않은 것이 일어나 버렸다. <br/>레이 모어를 돕기 위해서 제나가<br/>그림자 세계에 가 버린 것이다. <p/>그림자 세계의 위험함은 너도 알고 있을 것이다. <br/>게다가 제나의 부상은 아직 완전하게 회복한 상태가 아닌 것이다…<br/>미안하지만 부디 부탁한다…. <br/>그녀가 도움이 되어 주어 받을 수 없을까. <button title='계속한다' keyword='@continue'/>
taillteann.collen.12	그러나<username/>에는 벌써 진행중의 미션이 있구나. <br/>미션은 동시에 둘수행할 수 없다. <br/>진행중의 미션을 완료하는지, 단념하고 나서 또 오면 미션을 주자. <button title='계속한다' keyword='@continue2'/>
taillteann.collen.13	사제의 코렌이다. 만날 수 있어 기쁘다.
taillteann.collen.14	접힌 화살촉인가… 너가 이것을 어디서 손에 넣었는지 모르지만, 내가 한번 더 기회를 주기로 하자. <p/>… 더 이상은 아무것도 묻지마.
taillteann.collen.15	미션이 없는 것 같다. <br/>미션을 준다. … 부탁했어.
taillteann.collen.16	무슨 용무일까? <button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/>
taillteann.collen.17	어떠한 이야기를 할까? <br/><br/><button title='종료' keyword='@end'/><button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/>
taillteann.collen.18	오늘이나 성당의 일을 도와 주어 감사한다. <br/>
taillteann.collen.19	탈틴의 성당은 최근 1개소 뿐이다. <br/>나인가? 나는 사제의 코렌이지만…
taillteann.collen.20	<username/>, 전에도 한 번 모이지 않았는지?
taillteann.collen.21	만날 수 있어 기쁘다. <username/>이렇게 말했는지? 잘 만나는 것 같다.
taillteann.collen.22	<username/>, 라이미라크의 축복이, 너와 함께 있는 일을…
taillteann.collen.23	<username/>, 라이미라크의 축복이, 너의 길을 비추는 등불이 되지 않는 일을…
taillteann.collen.24	만약 필요한 것이 있으면 모여 줘.
taillteann.collen.25	[0]선물용
taillteann.collen.26	<npcportrait name='NONE'/><title name='NONE'/>코렌과의 회화를 끝냈다.
taillteann.collen.27	피에릭군은 여기저기를 방랑해 것을 파는 방랑 상인으로, 이따금 이 마을에도 와 있던 것이다. <br/>올 때마다 세상의 소문이나 아는 사람으로부터의 편지 따위를 보내 주어, 이 마을의 사람은 모두, 그에게 매우 감사하고 있던 것이다. <br/>지금은 잡화상이 생긴 덕분에 마을의 사람들은 모두 편리하게 되었어. 실로 좋은 일이다. <br/>다만, 나로서는 밖의 이야기를 들을 수 없게 되어 조금 유감인 때도 있다. 핫학…
taillteann.collen.28	식료품점은 잡화점 피에릭군이 함께 하고 있다. <br/>만약 음식을 살 돈이 없으면, 마을의 밭에서도 옥수수나 감자를 취할 수 있을 것이다.
taillteann.collen.29	치료자를 찾고 있는 것인가. 친위대를 방문하면 좋을 것이다. <br/>요전날부터 친위대가 임시의 치료자로서 마을의 사람들의 진찰도 해 주고 있다.
taillteann.collen.30	탈틴에서는 그다지 알려지지 않지만, 은행의 일을 담당하고 있는 데이비군은<br/>왕국에서도 손꼽히는 명가의 출신인 것이야. <br/>데이비군에 대해서 만약 좋지 않는 감정을 가지고 있어도, 그를 이해해 줘. <br/>… 태어났을 때로부터 모든 바라는 것을 향수해, 무엇하나 부자유를 아는 것이 없는 인간이<br/>신의 의지에 따라 산다고 하는 일은 매우 어려운 일이다.
taillteann.collen.31	사제가 카지야에 가는 것은 그다지 없지만, 탈틴에는 대장간은 없다고 듣고 있다. <br/>친위대를 방문하면 도움을 얻을 수 있을 것이다.
taillteann.collen.32	낳는… 나도 젊은 무렵은 검을 취급한 적도 있었지만, 지금 그러한 이야기는 조금 난처하구나.
taillteann.collen.33	의료품점은 광장에 가면 보일 것이다. 브렌다양은 이기적으로 보일지도 모르지만, 신앙심도 깊게 배려도 있는 아가씨다. <br/>궁핍한 성당의 살림살이에도 불구하고, 매년 싸고 새로운 사제옷을 받을 수 있는 것은 보고브렌다양의 덕분이야. <br/>만약 의료품 가게에 간다면 아무쪼록 전해 줘.
taillteann.collen.34	군은 책을 좋아하는 것 같다. 취미가 같은 사람을 만날 수 있어 기뻐. <br/>유감이지만 탈틴에는 서점이 없다. <br/>만약 철학이나 역사에 관한 신간을 가지고 있다면 빌려 주지 않는가?
taillteann.collen.35	분실물이 있다면 친위대 부관 안드레스양의 곳에 가면 좋을 것이다. 수수료를 조금 넉넉하게 가져 가는 것이 두 번씩 손질하기가 되지 않는 현명한 방법이다.
taillteann.collen.36	옛날은 여기도 밤이 끝날 때까지 여행자들의 류트나 하프의 소리가 들려 온 것이다. <br/>모닥불을 둘러싸 사랑하는 사람에게 작곡 한 노래를 준다 따위라고 말하는 것이 잘 행해지고 있었다. <br/>그러나, 전쟁은 이것들 모든 것을 빼앗아 갔다. <br/>지금의 탈틴에 그러한 꿈이 과연 아직 남아 있을까…
taillteann.collen.37	그렇다면, 의료품점의 브렌다양에 들어 봐서는 어떨까? 상냥한 아가씨이니까 친절하게 가르쳐 줄 것이야.
taillteann.collen.38	성당의 사람들은 자원봉사의 사람들이 채집해 온 음식으로 생활하고 있다. <br/>성당의 뒤의 작은 밭에도 감자와 옥수수가 있기 때문에, 굶주림을 견딜 정도의 물건은 준비할 수 있을 것이다.
taillteann.collen.39	이 아래를 쭉 물러나 가면 넓은 평지가 보일 것이다. 거기가 광장이야. <br/>친구에게라도 만나는 것 같다.
taillteann.collen.40	핫학, 촌장이라면 지금까지 던컨 밖에 본 적이 없구나. <br/>그렇게 말하면 최근에는 완전히 저 녀석의 이야기를 듣지 않게 된 것 같지만…<br/>만약 티르코네일이라고 하는 마을에 갈 기회가 있으면, 거기의 촌장 던컨에 아무쪼록 전해 주지 않는가?
taillteann.collen.41	성당은 여기야. 성수가 필요한가?
taillteann.collen.42	성당 기사단? <br/>-…. <br/>나는 단순한 평범한 사제…<p/>잘 모르는구나.
taillteann.collen.43	라이미라크신의 의지에 따르는 입장이지만<br/>사제이기 전에 사람이라고 생각하는 것이 많다. <br/>가끔 원인 불명의 충동과 욕망에 휩싸여 혼자서 괴로워하고 있다.
taillteann.collen.44	탈틴에 사제로서 부임하고 나서 1년 조금 지나지마. <br/>그것까지는 타라 법황청의 소속으로 활동하고 있던 것이다. |집이 대대로 라이미라크교를 깊게 신앙하고 있었기 때문에<br/>어릴 적부터 종교가 일상이었다. <br/>덕분에 사제의 길에 도착하는 과정에 대해도 그다지 저항감은 없었구나. |여기 탈틴이 최초의 부임지다. <br/>사제의 일자리에 임하는 것이 늦었으니까 고생했지만<br/>다행히 주위의 사람들에게 도와지고 있어. |코일 던전에서 시작된 포워르의 습격은<br/>이멘마하 전체를 폐허로 해 버렸다. <br/>아마 제나와의 처음의 만남도 그 무렵이었다고 기억하고 있다. |라이미라크의 사제이기 전에<br/>나도 인간이라고 느끼는 것이 많다. <br/>이따금 누구보다 감정적인<br/>자기 자신을 눈치채는 일이 있어. |사제옷 이라는 것은 모두 예절이 있기 (위해)때문에<br/>분명하게 격식을 차려 입는 것은<br/>매우 부담에 느끼는 일이 있다. |모이트라 전쟁의 무렵, 오른쪽 눈에 상처를 입었던 적이 있지만<br/>그 이후로 시력이 좋지 않다. <br/>지금은 익숙해졌기 때문에 일상생활에 큰 지장은 없지만<br/>가끔 거리감을 잃는 일이 있기 때문에 곤란하다.
taillteann.collen.45	탈틴에 사제로서 부임하고 나서 1년 조금 지나지마. <br/>그것까지는 타라 법황청의 소속으로 활동하고 있던 것이다. |집이 대대로 라이미라크교를 깊게 신앙하고 있었기 때문에<br/>어릴 적부터 종교가 일상이었다. <br/>덕분에 사제의 길에 도착하는 과정에 대해도 그다지 저항감은 없었구나. |여기 탈틴이 최초의 부임지다. <br/>사제의 일자리에 임하는 것이 늦었으니까 고생했지만<br/>다행히 주위의 사람들에게 도와지고 있어. |코일 던전에서 시작된 포워르의 습격은<br/>이멘마하 전체를 폐허로 해 버렸다. <br/>아마 제나와의 처음의 만남도 그 무렵이었다고 기억하고 있다. |라이미라크의 사제이기 전에<br/>나도 인간이라고 느끼는 것이 많다. <br/>이따금 누구보다 감정적인<br/>자기 자신을 눈치채는 일이 있어. |사제옷 이라는 것은 모두 예절이 있기 (위해)때문에<br/>분명하게 격식을 차려 입는 것은<br/>매우 부담에 느끼는 일이 있다. |모이트라 전쟁의 무렵, 오른쪽 눈에 상처를 입었던 적이 있지만<br/>그 이후로 시력이 좋지 않다. <br/>지금은 익숙해졌기 때문에 일상생활에 큰 지장은 없지만<br/>가끔 거리감을 잃는 일이 있기 때문에 곤란하다.
taillteann.collen.46	탈틴에 사제로서 부임하고 나서 1년 조금 지나지마. <br/>그것까지는 타라 법황청의 소속으로 활동하고 있던 것이다. |집이 대대로 라이미라크교를 깊게 신앙하고 있었기 때문에<br/>어릴 적부터 종교가 일상이었다. <br/>덕분에 사제의 길에 도착하는 과정에 대해도 그다지 저항감은 없었구나. |여기 탈틴이 최초의 부임지다. <br/>사제의 일자리에 임하는 것이 늦었으니까 고생했지만<br/>다행히 주위의 사람들에게 도와지고 있어. |코일 던전에서 시작된 포워르의 습격은<br/>이멘마하 전체를 폐허로 해 버렸다. <br/>아마 제나와의 처음의 만남도 그 무렵이었다고 기억하고 있다. |라이미라크의 사제이기 전에<br/>나도 인간이라고 느끼는 것이 많다. <br/>이따금 누구보다 감정적인<br/>자기 자신을 눈치채는 일이 있어. |사제옷 이라는 것은 모두 예절이 있기 (위해)때문에<br/>분명하게 격식을 차려 입는 것은<br/>매우 부담에 느끼는 일이 있다. |모이트라 전쟁의 무렵, 오른쪽 눈에 상처를 입었던 적이 있지만<br/>그 이후로 시력이 좋지 않다. <br/>지금은 익숙해졌기 때문에 일상생활에 큰 지장은 없지만<br/>가끔 거리감을 잃는 일이 있기 때문에 곤란하다.
taillteann.collen.47	사제옷 이라는 것은 모두 예절이 있기 (위해)때문에<br/>분명하게 격식을 차려 입는 것은<br/>매우 부담에 느끼는 일이 있다.
taillteann.collen.48	탈틴에 사제로서 부임하고 나서 1년 조금 지나지마. <br/>그것까지는 타라 법황청의 소속으로 활동하고 있던 것이다. |집이 대대로 라이미라크교를 깊게 신앙하고 있었기 때문에<br/>어릴 적부터 종교가 일상이었다. <br/>덕분에 사제의 길에 도착하는 과정에 대해도 그다지 저항감은 없었구나. |여기 탈틴이 최초의 부임지다. <br/>사제의 일자리에 임하는 것이 늦었으니까 고생했지만<br/>다행히 주위의 사람들에게 도와지고 있어.
taillteann.collen.49	탈틴에 사제로서 부임하고 나서 1년 조금 지나지마. <br/>그것까지는 타라 법황청의 소속으로 활동하고 있던 것이다. |집이 대대로 라이미라크교를 깊게 신앙하고 있었기 때문에<br/>어릴 적부터 종교가 일상이었다. <br/>덕분에 사제의 길에 도착하는 과정에 대해도 그다지 저항감은 없었구나. |여기 탈틴이 최초의 부임지다. <br/>사제의 일자리에 임하는 것이 늦었으니까 고생했지만<br/>다행히 주위의 사람들에게 도와지고 있어. |코일 던전에서 시작된 포워르의 습격은<br/>이멘마하 전체를 폐허로 해 버렸다. <br/>아마 제나와의 처음의 만남도 그 무렵이었다고 기억하고 있다. |라이미라크의 사제이기 전에<br/>나도 인간이라고 느끼는 것이 많다. <br/>이따금 누구보다 감정적인<br/>자기 자신을 눈치채는 일이 있어. |사제옷 이라는 것은 모두 예절이 있기 (위해)때문에<br/>분명하게 격식을 차려 입는 것은<br/>매우 부담에 느끼는 일이 있다. |모이트라 전쟁의 무렵, 오른쪽 눈에 상처를 입었던 적이 있지만<br/>그 이후로 시력이 좋지 않다. <br/>지금은 익숙해졌기 때문에 일상생활에 큰 지장은 없지만<br/>가끔 거리감을 잃는 일이 있기 때문에 곤란하다.
taillteann.collen.50	탈틴에 사제로서 부임하고 나서 1년 조금 지나지마. <br/>그것까지는 타라 법황청의 소속으로 활동하고 있던 것이다. |집이 대대로 라이미라크교를 깊게 신앙하고 있었기 때문에<br/>어릴 적부터 종교가 일상이었다. <br/>덕분에 사제의 길에 도착하는 과정에 대해도 그다지 저항감은 없었구나. |여기 탈틴이 최초의 부임지다. <br/>사제의 일자리에 임하는 것이 늦었으니까 고생했지만<br/>다행히 주위의 사람들에게 도와지고 있어. |코일 던전에서 시작된 포워르의 습격은<br/>이멘마하 전체를 폐허로 해 버렸다. <br/>아마 제나와의 처음의 만남도 그 무렵이었다고 기억하고 있다. |라이미라크의 사제이기 전에<br/>나도 인간이라고 느끼는 것이 많다. <br/>이따금 누구보다 감정적인<br/>자기 자신을 눈치채는 일이 있어. |사제옷 이라는 것은 모두 예절이 있기 (위해)때문에<br/>분명하게 격식을 차려 입는 것은<br/>매우 부담에 느끼는 일이 있다. |모이트라 전쟁의 무렵, 오른쪽 눈에 상처를 입었던 적이 있지만<br/>그 이후로 시력이 좋지 않다. <br/>지금은 익숙해졌기 때문에 일상생활에 큰 지장은 없지만<br/>가끔 거리감을 잃는 일이 있기 때문에 곤란하다.
taillteann.collen.51	법황청은 지금도 아직 그림자 세계의 존재 자체를<br/>공식적으로 인정하지 않았다. <br/>이러한 상황이 비합리적으로 느껴질지도 모르지만<br/>때에 이해 할 수 없는 모습이 있는 것이 종교라고 생각한다. |법황청에 대한 비난의 소리를 듣는 것이 증가했다. <br/>물론 여기 탈틴에는 왕당파가 주축이 된 친위대가 주둔 하고 있기 때문에<br/>더욱 더 그러한 여론이 형성될 것이다. |법황청으로부터 서신이 빈번하게 오게 되었다. <br/>탈틴 지역은 정치적으로 매우 미묘한 지역이라고 말할 수 있다. <br/>수도 타라와 인접하고 있는 탓도 있을 것이다. <p/>그것은 차치하고, 서신의 대답을 쓰고 있으면<br/>하루가 끝나는 날도 있다. <br/>그런 날은 정말로 분한 기분이 된다.
taillteann.collen.52	법황청은 지금도 아직 그림자 세계의 존재 자체를<br/>공식적으로 인정하지 않았다. <br/>이러한 상황이 비합리적으로 느껴질지도 모르지만<br/>때에 이해 할 수 없는 모습이 있는 것이 종교라고 생각한다. |법황청에 대한 비난의 소리를 듣는 것이 증가했다. <br/>물론 여기 탈틴에는 왕당파가 주축이 된 친위대가 주둔 하고 있기 때문에<br/>더욱 더 그러한 여론이 형성될 것이다. |법황청으로부터 서신이 빈번하게 오게 되었다. <br/>탈틴 지역은 정치적으로 매우 미묘한 지역이라고 말할 수 있다. <br/>수도 타라와 인접하고 있는 탓도 있을 것이다. <p/>그것은 차치하고, 서신의 대답을 쓰고 있으면<br/>하루가 끝나는 날도 있다. <br/>그런 날은 정말로 분한 기분이 된다.
taillteann.collen.53	법황청은 지금도 아직 그림자 세계의 존재 자체를<br/>공식적으로 인정하지 않았다. <br/>이러한 상황이 비합리적으로 느껴질지도 모르지만<br/>때에 이해 할 수 없는 모습이 있는 것이 종교라고 생각한다. |법황청에 대한 비난의 소리를 듣는 것이 증가했다. <br/>물론 여기 탈틴에는 왕당파가 주축이 된 친위대가 주둔 하고 있기 때문에<br/>더욱 더 그러한 여론이 형성될 것이다. |법황청으로부터 서신이 빈번하게 오게 되었다. <br/>탈틴 지역은 정치적으로 매우 미묘한 지역이라고 말할 수 있다. <br/>수도 타라와 인접하고 있는 탓도 있을 것이다. <p/>그것은 차치하고, 서신의 대답을 쓰고 있으면<br/>하루가 끝나는 날도 있다. <br/>그런 날은 정말로 분한 기분이 된다.
taillteann.collen.54	법황청은 지금도 아직 그림자 세계의 존재 자체를<br/>공식적으로 인정하지 않았다. <br/>이러한 상황이 비합리적으로 느껴질지도 모르지만<br/>때에 이해 할 수 없는 모습이 있는 것이 종교라고 생각한다. |법황청에 대한 비난의 소리를 듣는 것이 증가했다. <br/>물론 여기 탈틴에는 왕당파가 주축이 된 친위대가 주둔 하고 있기 때문에<br/>더욱 더 그러한 여론이 형성될 것이다. |법황청으로부터 서신이 빈번하게 오게 되었다. <br/>탈틴 지역은 정치적으로 매우 미묘한 지역이라고 말할 수 있다. <br/>수도 타라와 인접하고 있는 탓도 있을 것이다. <p/>그것은 차치하고, 서신의 대답을 쓰고 있으면<br/>하루가 끝나는 날도 있다. <br/>그런 날은 정말로 분한 기분이 된다.
taillteann.collen.55	이제(벌써) 이런 시간이나…<br/>다음은 또 다음으로 하자.
taillteann.collen.56	법황청은 지금도 아직 그림자 세계의 존재 자체를<br/>공식적으로 인정하지 않았다. <br/>이러한 상황이 비합리적으로 느껴질지도 모르지만<br/>때에 이해 할 수 없는 모습이 있는 것이 종교라고 생각한다. |법황청에 대한 비난의 소리를 듣는 것이 증가했다. <br/>물론 여기 탈틴에는 왕당파가 주축이 된 친위대가 주둔 하고 있기 때문에<br/>더욱 더 그러한 여론이 형성될 것이다. |법황청으로부터 서신이 빈번하게 오게 되었다. <br/>탈틴 지역은 정치적으로 매우 미묘한 지역이라고 말할 수 있다. <br/>수도 타라와 인접하고 있는 탓도 있을 것이다. <p/>그것은 차치하고, 서신의 대답을 쓰고 있으면<br/>하루가 끝나는 날도 있다. <br/>그런 날은 정말로 분한 기분이 된다.
taillteann.collen.57	법황청은 지금도 아직 그림자 세계의 존재 자체를<br/>공식적으로 인정하지 않았다. <br/>이러한 상황이 비합리적으로 느껴질지도 모르지만<br/>때에 이해 할 수 없는 모습이 있는 것이 종교라고 생각한다. |법황청에 대한 비난의 소리를 듣는 것이 증가했다. <br/>물론 여기 탈틴에는 왕당파가 주축이 된 친위대가 주둔 하고 있기 때문에<br/>더욱 더 그러한 여론이 형성될 것이다. |법황청으로부터 서신이 빈번하게 오게 되었다. <br/>탈틴 지역은 정치적으로 매우 미묘한 지역이라고 말할 수 있다. <br/>수도 타라와 인접하고 있는 탓도 있을 것이다. <p/>그것은 차치하고, 서신의 대답을 쓰고 있으면<br/>하루가 끝나는 날도 있다. <br/>그런 날은 정말로 분한 기분이 된다.
taillteann.collen.58	잘 모른다. |기회가 있으면 이번에 이야기하자. |그렇게 노골적인 질문에는 답하고 싶지 않구나. |아, 다른 일을 생각하고 있었어. |낳는… 그런 일이었는가. <br/>잘 알았다.
taillteann.collen.59	잘 모른다. |기회가 있으면 이번에 이야기하자. |그렇게 노골적인 질문에는 답하고 싶지 않구나. |아, 다른 일을 생각하고 있었어. |낳는… 그런 일이었는가. <br/>잘 알았다.
taillteann.collen.60	잘 모른다. |기회가 있으면 이번에 이야기하자. |그렇게 노골적인 질문에는 답하고 싶지 않구나. |아, 다른 일을 생각하고 있었어. |낳는… 그런 일이었는가. <br/>잘 알았다.
taillteann.collen.61	잘 모른다. |기회가 있으면 이번에 이야기하자. |그렇게 노골적인 질문에는 답하고 싶지 않구나. |아, 다른 일을 생각하고 있었어. |낳는… 그런 일이었는가. <br/>잘 알았다.
taillteann.collen.62	잘 모른다. |기회가 있으면 이번에 이야기하자. |그렇게 노골적인 질문에는 답하고 싶지 않구나. |아, 다른 일을 생각하고 있었어. |낳는… 그런 일이었는가. <br/>잘 알았다.
taillteann.collen.63	내일 또 와 주지 않는가? <br/>
taillteann.collen.64	오늘 부탁한 일은 어떻게 되었어? 지금 결과를 보고해 주는 걸까요? <br/><button title='보고한다' keyword='@report'/><button title='보고하지 않는다' keyword='@later'/>
taillteann.collen.65	나의 보는 눈에 실수는 없었구나. <br/>고마워요. 답례를 하고 싶다. 선택해 주게. <br/><button title='보고하지 않는다' keyword='@later'/>
taillteann.collen.66	좋다. <br/>오늘은 특별히, 보수를 충분히 드리자.
taillteann.collen.67	수고였네.
taillteann.collen.68	보수를 조금 깎자.
taillteann.collen.69	보수는 조금 밖에 줄 수 없구나.
taillteann.collen.70	아무것도 필요하지 않은 걸까?
taillteann.collen.71	이것으로는 보수는 향후도 받을 수 없을 것이다.
taillteann.collen.72	기대하고 있어.
taillteann.collen.73	아직 마감해 시간이 아니구나. 다음에 와 줘.
taillteann.collen.74	에서는, 다음에 만나자.
taillteann.collen.75	바란다면 어쩔 수 없을 것이다.
taillteann.collen.76	일은 순조로운가? <br/>
taillteann.collen.77	노력해 줘.
taillteann.collen.78	이 정도로 방폐[放棄]인가? <br/>…
taillteann.collen.79	자원봉사의 시간은 끝났다.
taillteann.collen.80	우선 지금 하고 있는 일을 끝내고 나서 오도록..
taillteann.collen.81	<username/>, 너라면 믿을 수 있다.
taillteann.collen.82	에서는, 오늘도 노력해 줘.
taillteann.collen.83	또 이번….
taillteann.collen.84	잘 왔군요. <br/>오늘 도와줘 받는 일을 보여드리자.
taillteann.collen.85	에서는, 부탁했어.
taillteann.collen.86	무리인 것 같은가…?
taillteann.collen.87	오늘도 도우러 와 주었는가. 고마워요.
taillteann.collen.88	빈틈없이 해 주면 고맙다.
taillteann.collen.89	컨디션이 좋지 않은 것 같다.
taillteann.collen.90	오늘이나 성당의 일을 도우러 왔는지?
taillteann.collen.91	마감 시간이 되기까지 와 일의 결과를 보고해 줘. <br/>
taillteann.collen.92	 하고 싶지 않다면 강요는 하지 않는다.
taillteann.collen.93	나중에 또 와 주지 않는가?
taillteann.collen.94	오늘은 자원봉사가 많이 올 수 있어, 일손은 충분하다.
taillteann.collen.95	목록이 가득한 같다.
taillteann.collen.96	나중에 또 와 주지 않는가?
taillteann.collen.97	한켤레 늦었구나. <br/>오늘은 이제(벌써) 사람이 충분하다.
taillteann.collen.98	나중에 또 와 줘. <br/>지금은 일의 시간은 아니다.
taillteann.collen.99	고마워요. |고맙게 받는다. 라이미라크의 축복이 함께 있는 일을…
taillteann.collen.100	고마워요. |고맙게 받는다. 라이미라크의 축복이 함께 있는 일을…
taillteann.collen.101	고마워요. |고맙게 받는다. 라이미라크의 축복이 함께 있는 일을…
taillteann.collen.102	이것은 조금 심하구나.
taillteann.collen.103	여신을 구한다고는<p/>훌륭한 일을 했군.
taillteann.collen.104	레이나와 케이의 이야기인가… 정말로 잘 어울리는 커플이었는데<br/>레이나가 죽어, 케이까지 딱한 것이 되었다…. <p/>그러나 케이가 없는 지금도, 묘지에는 언제나 꽃이 놓여져 있다고 하는 일이다? <br/>나도 막 신경이 쓰이고 있던 것이다.
taillteann.collen.105	제나의 기억을 보고 싶은 걸까? <br/>그림자 미션을 한번 더 주자.
taillteann.collen.106	제나를 아직 구출 되어 있지 않은 걸까? 일각을 싸운다. <br/>또 미션을 주기 때문에 아무쪼록 부탁했어.
taillteann.collen.107	, 레이 모어를 만나 온 것이라면<br/>지금의 제나와 레이 모어의 사이에 도착해 들었을 것이다. <br/>나는 이 두 사람의 관계가 어떻게여도 또 화해하는 것을 바라고 있다. <p/><image name='G11_S1_SEQ4_7' width='512' height='512'Y='30'/>이멘마하의 참극의 무렵까지 거슬러 올라가면<br/>내가 제나를 알며 보내 온 시간도 상당한 것이 된다. <p/>오랫동안 제나를 지켜봐 왔지만<br/>레이 모어와 함께 있을 때(정도)만큼<br/>그 아이의 표정이 빛나고 있는 일은 없었어요. <p/>나는 그러한 제나의 행복을 지켜 주고 싶다. <br/>그러니까<username/>씨에게도 손을 빌려 주어 받고 싶다. <p/>이 아이템을 봐 줘. <br/>제나의 심정을 조금이라도 이해하는데 도움이 된다고 생각하지만…<br/>내가 주는 그림자 미션과 이 아이템을 가져 타라의 제단에 가 봐 줘.
taillteann.collen.108	벌써 다른 그림자 미션을 진행되고 있구나. <br/>그것을 완료시키든가 방폐[放棄] 하고 나서 또 말을 걸어 줘.
taillteann.collen.109	방금전 레이 모어의 연락을 받았다. <br/>꽤 임박하고 있어 구체적인 상황은 확인 할 수 없었지만<br/>역시 제나는 그림자의 세계에 있던 것 같다. <p/>레이 모어가 특별히<username/>씨의 도움을 요청했다고 하는 일은<br/>현재그림자의 세계의 상황이 그다지 좋지 않아서… 걱정이다. <br/>부탁이다,<username/>씨. <br/>제나를 위해서도 서둘러 주지 않는가?
taillteann.collen.110	벌써 다른 그림자 미션을 진행되고 있구나. <br/>그것을 완료시키든가 방폐[放棄] 하고 나서 또 말을 걸어 줘.
