tirchonaill.dilys.1	디리스가 로그인했습니다.
tirchonaill.lassar.294	<button title='이상적인 모양' keyword='@g2_22_IdealAppearance'/>
tirchonaill.malcolm.1	말콤이 로그인했습니다.
tirchonaill.malcolm.2	말콤의 상점 생성에 성공했습니다.
tirchonaill.malcolm.3	[0]잡화
tirchonaill.malcolm.4	[1]모자
tirchonaill.malcolm.5	[2]구두 글로브
tirchonaill.malcolm.6	[3]의상
tirchonaill.malcolm.7	[4]고급 의상
tirchonaill.malcolm.8	말콤의 상점 생성에 실패했습니다.
tirchonaill.malcolm.9	[0]잡화
tirchonaill.malcolm.10	[1]모자
tirchonaill.malcolm.11	[2]구두 글로브
tirchonaill.malcolm.12	[3]의상
tirchonaill.malcolm.13	[4]고급 의상
tirchonaill.malcolm.14	일은 쌓이는 한편으로, 시간도 없는… 꽤 대단하다|후후, 그 사람 변하지마…(웃음)|여기에 온 여행자들이 뭔가 사 주면 좋겠다…|빨리 정리해 돌아가는 편이 좋을까? |혼자서는 역시 무리인가… 점원이라도 고용할까|… 팔이 아픈… 만하루 서 있기 때문에 다리도 아프다|노라는 무엇을 하고 있을까…(모에)|곧 근처에 살고 있는데 만날 수 없다니…(엉엉)|그녀를 생각하면 만족에 자는 일도 할 수 없다…(난)
tirchonaill.malcolm.15	<npcportrait name='NONE'/><title name='NONE'/>가는 얼굴과 야윈 몸이 병약할 것 같은 인상을 주지만,<br/>예쁘게 정돈한 금발은, 그렇게 병약할 것 같은 인상을 없애 주고 있다. <br/>작업장으로부터 나온 사람과 같이, 두꺼운 가죽의 에이프런을 옷 위에 입고 있다. <br/>엿보이는 그의 손은 여성과 같이 가늘고 부드러운 것 같다. <br/><button title='계속한다' keyword='@continue'/>
tirchonaill.malcolm.16	잡화상에 어서 오십시오. 이쪽에 가(오)시는 것은 처음입니까? <br/>
tirchonaill.malcolm.17	뭔가 용건입니까? <button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/><button title='아이템 수리' keyword='@repair'/>
tirchonaill.malcolm.18	그 외에는 무엇인가? <br/><br/><button title='이야기를 끝낸다' keyword='@end'/><button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/><button title='아이템 수리' keyword='@repair'/>
tirchonaill.malcolm.19	화이트데이 이벤트
tirchonaill.malcolm.20	어린이날 이벤트
tirchonaill.malcolm.21	잡화상의 일은 큰 일이지 않습니까? <br/>계속해, 잘 부탁드립니다.
tirchonaill.malcolm.22	잡화상에 어서 오십시오. 이쪽에 가(오)시는 것은 처음입니까?
tirchonaill.malcolm.23	내점해 주셔, 감사합니다.
tirchonaill.malcolm.24	계세요,<username/>씨.
tirchonaill.malcolm.25	또, 계셨어요,<username/>씨. <br/>앞으로도 이용하실 수 있도록<br/>특별히 VIP로서 맞이하겠습니다.
tirchonaill.malcolm.26	VIP 고객의<username/>씨군요.
tirchonaill.malcolm.27	계세요, 말콤의 잡화상입니다. <br/>의상, 악세사리, 그 외에도 여러가지 물건이 갖추어져 있어요. 아무쪼록, 천천히.
tirchonaill.malcolm.28	<npcportrait name='NONE'/><title name='NONE'/>말콤과의 이야기를 끝냈다.
tirchonaill.malcolm.29	네, 여기가 말콤의 잡화상입니다.
tirchonaill.malcolm.30	눈앞의 가게가 식료품점입니다. <br/>케이틴씨는 상냥하고 정직한 성격인 것으로,<br/>엄선된 신선한 것만을 취급하고 있기 때문에, 꼭 봐 주세요. <p/>치우친 식생활은 몸에 악영향을 주기 때문에,<br/>식품은 밸런스 좋게 사면 좋아요.
tirchonaill.malcolm.31	베빈의 직장입니다. 그녀의 일의 팔은 알고 있습니다만…. <br/>베빈은 조금 신뢰 할 수 없는 곳이 있어서요. <p/>사람의 소문이야기도 잘 하고,<br/>사람으로부터 맡은 것을 모르는척 하는 일이 있는 보고 싶고… 농담이라고는 생각합니다만.
tirchonaill.malcolm.32	건강이 재산입니다. <br/>병이 들거나 넘어져 버리거나 하면,<br/>돈이나 명예도 무슨 의미도 없습니다. <br/>건강이 제일 소중합니다. <p/>그러나, 가장 중요한 일은,<br/>가능한 한 위험한 일은 하지 않는 것입니다. <br/>『손대지 않는 신에 숭리나 해』는 알고 있습니다? <p/>… 아아… 미안해요. <br/>디리스의 있을 곳을 가르치는 것을 말하는 것을 잊고 있었어요. <br/>치료자의 집은, 시드스넷타에의 길가에 조금 비탈을 오르면 있어요.
tirchonaill.malcolm.33	거기라면 곧 근처입니다. 이 아래에 있는 건물, 보입니까? <br/>비탈을 물러나면 곧이에요. <br/>근처에 풍차도 있으므로 알겠지요. <br/>피르아스씨가 여관가운데에 계시므로, 말을 걸어 주세요. <p/>그리고… 저, 저… 노… 노라가 여관의 전에… 있습니다만…,<br/>아무쪼록 타라… 바랄 수 있지 않습니까….
tirchonaill.malcolm.34	많은 사람이 잡화상과 대장간을 잘못되어 있는 것 같습니다만…. <br/>나는 잡화를 판매해, 퍼거스씨는<br/>주로 철을 가공을 한 무기나 방어구를 판매하고 있습니다. <br/>대장간은, 마을의 입구에 흐르고 있는 아데 리어 강가에 있어요.
tirchonaill.malcolm.35	류트? 좋은 취미를 가지고 있네요. <br/>우리 가게에 있는 것은 그만큼 고가의 것이 아닙니다만…. <br/>1무심코 가가입니까? <p/>꽤 아름다운 소리가 나요.
tirchonaill.malcolm.36	근처의 식료품점에는 가 보았습니까? <br/>이 마을에 식당은 없습니다만<br/>음식은 모두 식료품점에서 팔고 있기 때문에,<br/>특히 불편은 느끼지 않습니다. <p/>거기에 무엇보다도,<br/>케이틴씨의 요리 솜씨는 최고이기 때문에….
tirchonaill.malcolm.37	무기가게? 어떨까…. <br/>무기라면 대장간에 갈 수 있는 편이 좋다고 생각합니다. <br/>이 마을에는, 무기의 전문점은은 없기 때문에. <p/>그… 자연스럽게 마을에서의 생활의<br/>자랑이야기를 하고 싶은 것 같이 들려요. 주의를.
tirchonaill.malcolm.38	양복이라면, 여기에서도 사 받을 수가 있습니다만…. <br/>남성용의 옷은… 그다지 여러분 구애받지 않는 것 같은 것으로,<br/>여성용의 옷이 많습니다만. 보십니까? <p/>…. <p/>그… 지금의 이유, 정말입니까들…!?
tirchonaill.malcolm.39	아, 책입니까? <br/>일전에, 책을 대량으로 매입한 것입니다만,<br/>팔리지 않아서 상당히 손해보았던 적이 있어서…. <br/>그러므로, 그 뒤는 그다지 매입하지 않습니다. <p/>다행히, 작곡 스킬의 책은 잘 팔려 살아나고 있습니다만 말이죠….
tirchonaill.malcolm.40	유감입니다만… 이런 시골에는 있어도 의미가 없습니다. <br/>그리고, 이 마을은 우리 우레이드, 파르홀론족의 자손들이<br/>구축하고 지켜 온 자치구이니까, 필요도 없다고 생각하고 있습니다.
tirchonaill.malcolm.41	나는 흥미 없습니다. <br/>싸움은 아이가 할 것이니까. <p/>그렇지만, 어느 사람은 그러한 폭력을<br/>남자의 상징이라고 생각하고 있는 것 같네요. <br/>딱합니다.
tirchonaill.malcolm.42	활? 만들어 팔아도 괜찮지만…. <br/>실은 이전 팔고 있었던 일도 있던 것입니다만,<br/>퍼거스씨에게 미안한 생각이 들어,<br/>잡화상에서는 팔지 않기로 했습니다. <p/>퍼거스씨의 대장간에 가 봐 주세요. <br/>어차피 화살이 없으면,<br/>활만으로는 아무것도 할 수 없으니까.
tirchonaill.malcolm.43	악기 연주에 흥미가 있습니까? <br/>만약 스킬을 습득하고 싶은 것이라면,<br/>류트나 우쿨렐레와 같은 악기를 사 장비 해 봐 주세요.
tirchonaill.malcolm.44	작곡에 흥미가 있군요? <br/>그렇다면 내가 판매하고 있기 때문에, 잠시 후에 「거래」를 선택해 주세요. <br/>작곡 스킬 입문서에는, 작곡의 모든 것이 차 있어요. <br/>확실히 읽으면, 작곡 스킬의 습득도 시간의 문제입니다. <p/>그리고, 스킬을 기억한 뒤로 필요한 것은 악보입니다만,<br/>하늘의 악보도 판매하고 있기 때문에, 잘 부탁드립니다. <br/>… 아아, 뭔가 「판매」같이 되어 버려 미안합니다….
tirchonaill.malcolm.45	양복의 일이라면, 케이틴씨가 제일일까…? <br/>이야기해 보면 좋아요. <p/>케이틴씨는, 바로 눈앞의 식료품점에 있습니다. <br/>아직 이야기하지 않는 것 같다면,<br/>꼭 이야기해 봐 주세요.
tirchonaill.malcolm.46	그렇다면, 들은 적 있습니다. <br/>활을 사용해 일격으로 굉장한 공격을 한다든가…. <br/>여행자의 여러분의 사이에서는 화제가 되고 있는 것 같네요. <p/>자경단원의 트레보군이나, 학교의 레이널드 선생님이<br/>가르쳐 준다고 들었던 적이 있습니다. <p/>… 나 말입니까? <br/>나는, 그다지 흥미가 없어서. <br/>일상생활에 활은 그렇게 필요하지 않아서. <br/>흥미가 있으면 꼭, 아무쪼록.
tirchonaill.malcolm.47	잘은 모릅니다만,<br/>전투할 때에 사용하는 스킬인 것 같네요. <br/>학교에서 레이널드 선생님에게 들어 주세요. <p/>나보다는, 많은 일을 이야기해 준다고 생각합니다….
tirchonaill.malcolm.48	스매쉬라면, 사람들이 사용하는 것을 보았던 것은 있습니다. <br/>자세하게는 없습니다만…. <br/>학교에서 레이널드 선생님에게 들어 봐 주세요. <br/>나는 너무 전투에 대해서는 자세하지 않으니까….
tirchonaill.malcolm.49	뭐가 뭔지, 잘 모릅니다….
tirchonaill.malcolm.50	채집을 하고 싶습니까? <br/>아, 맨손에서는 할 수 없습니다. 그것인가, 적절한 도구가 없으면…. <p/>여기의 다양한 상품으로 마음에 드시지 않는 것 같다면,<br/>대장간에도 발길을 옮겨 보면 어떻습니까?
tirchonaill.malcolm.51	…. <br/>농담이군요? <br/>눈앞의 광장을 지나 여기에 왔는데, 광장의 장소를 묻는다고는…. <p/>어쩐지… 빨려지고 있을까나…? <br/>머리 모양에서도 바꾸어 볼까….
tirchonaill.malcolm.52	조상 대대로 전해져 온 늙음 없는 세계,<br/>슬픔이 없는 이상향의 일입니까? <p/>나는 책으로 그 일을 알았습니다. <br/>나는 뭐 본 대로, 책을 아주 좋아하는 것으로.
tirchonaill.malcolm.53	마비노기…. <br/>나도 상당히 박식이라고 하는 자신은 있습니다만…. <br/>마비노기에 대해서는 중년이 자세하다고 생각합니다. <br/>나와는 비교로도 되지 않아요. <p/>던컨 촌장이나 퍼거스씨를 방문해 봐서는?
tirchonaill.malcolm.54	식료품점의 뒤쪽의 비탈을 조금 물러난 곳이군요. <br/>아마, 이 마을의 농작물은 그 저수지가 없으면<br/>안되게 되어 버릴 것이라고 생각되는 만큼,<br/>농업용수라고 해도 소중한 곳입니다.
tirchonaill.malcolm.55	농경지는 학교의 근처에 있습니다. <br/>그렇지만, 그 밖에 특별히 아무것도 없는 곳인 것으로…. <br/>왜, 그렇게 알고 싶어하는 사람이 있는지를 모릅니다. <p/>게다가, 마음대로 들어가지거나 하면 곡물이 상해 곤란하지만…. <br/>모두, 그렇게 말했던 것에는 배려를 하지 않는 것 같습니다.
tirchonaill.malcolm.56	풍차는, 여관에의 길을 내려 가면 곧바로 보입니다. <br/>저녁놀의 하늘을 풍차의 날개가 그림자를 만들면서 도는 풍경을,<br/>노라와 함께 보거나 한 적도 있었는데…. <p/>… 최근에는 바쁜 바쁘다고, 상대에게도 해 주지 않아요… 하.
tirchonaill.malcolm.57	아데 리어강은, 이 티르코네일마을의<br/>생명의 물과 같은 존재입니다. <br/>저수지의 물도, 아데 리어강으로부터 이끌고 있고…. <p/>음료수는 물론의 일 세탁까지,<br/>게다가 양의 음료수마저도가 아데 리어강의 물입니다. <br/>마을의 모두가 신세를 지고 있는 강이군요.
tirchonaill.malcolm.58	촌장씨의 집입니까? 눈앞의 언덕을 오르면 있어요. <br/>눈이 좋은 사람이라면 여기로부터라도 보일지도. <p/>집의 장소를 기억하는 요령이지만,<br/>『신분의 높은 사람은 높은 곳에 살고 있다』라고 하는 것은… 안됩니까?
tirchonaill.malcolm.59	성당입니까? <br/>은행전의 길을 조금 물러난 곳입니다. <br/>정확히 식료품점의 뒤쪽이 되네요. <p/>들르는 일이 있으면, 메이븐 사제에게<br/>좋은 캔들이 많이 입하했다고 전언 바랄 수 있습니까? <br/>부재중이라면, 엔데리온 사제에게 말 짓고를 부탁합니다.
tirchonaill.malcolm.60	학교…. <br/>… 학교는, 은행 곁의 길을 저수지에 내려 가면 있습니다. <br/>식료품점의 뒤의 길이에요. <br/>레이널드 선생님과 라사 선생님이 가르치고 있습니다. <p/>그런데… 학생입니까…?
tirchonaill.malcolm.61	'네, 여기입니다. <br/>여기서 팔고 있습니다. <br/>…. <p/>……. <p/>아, 지금은 이야기를 하고 있으므로,<br/>다음에 봐 주세요.
tirchonaill.malcolm.62	어떨까… 곧 근처에 집이 있는데,<br/>어째서 밖에서 그런 일을 하고 있는 것인가…. <br/>정직 이해할 수 없습니다. <p/>실패해 화재라도 되면 어떻게 하겠지요?
tirchonaill.malcolm.63	묘지? <br/>…. <p/>…. <p/>촌장의 집의 더욱 위에 오르면 있습니다만…. <br/>묘지의 일을 묻다니… 이상한 장소에 흥미가 있군요.
tirchonaill.malcolm.64	<username/>씨. 이미 눈치채고 있다고는 생각합니다만… 나는 노라를 좋아합니다. <br/>그렇지만, 그녀는 나의 기분을 알아 주지 않습니다. <br/>그녀는 다른 여행자들에게는 매우 상냥하고,<br/>업무상의 교제이고 납득하려고 노력은 합니다만… 마음이 상합니다. <p/>이런 기분, 이해할 수 있습니까?
tirchonaill.malcolm.65	나에게는 오빠가 한사람 있습니다. 지금은 다른 나라를 여행중입니다. <br/>연락이 없어져 오래 되기 때문에, 가끔 만나고 싶어집니다. <br/>나에게는 정말로 상냥한 오빠였고….
tirchonaill.malcolm.66	최근에는 손님으로 활기차, 물건이 따라잡지 않을 정도입니다. <br/>부지런히 만들고는 있지만, 일손이 충분하지 않습니다. <br/>사람을 고용할 수 있는 상황도 아니고… 물품 종류가 적어서 죄송합니다만, 이해 부탁합니다.
tirchonaill.malcolm.67	당신은 잘 말참견하는 버릇이 있네요. 그런 일 알아 어떻게 합니까?
tirchonaill.malcolm.68	또 그런 이야기를… 그 이야기는 이제 그만둡시다.
tirchonaill.malcolm.69	타인의 일에 흥미가 너무 있고와 같네요.
tirchonaill.malcolm.70	나는 여기서 잡화상을 영위하고 있습니다. 다양하게 팔고 있습니다.
tirchonaill.malcolm.71	{0}에 몬스터가 나타난 것 같습니다! <br/>{1}… 일까?
tirchonaill.malcolm.72	{0}의{1}에 몬스터가 출현하는 것 같습니다! <br/>{2}… 였는지?
tirchonaill.malcolm.73	베빈은 타인의 일에 말참견하는 것을 좋아합니다. <br/>즐거운 것은 알지만, 너무 좋은 취미라고는 할 수 없을까…. <br/><username/>씨는 어떻게 생각합니까?
tirchonaill.malcolm.74	관광객이 증가해, 여관의 이용손님도 꽤 증가한 것 같습니다. <br/>언제나 손님이 가득해, 밤이 되어도 여관은 활기차 있으므로,<br/>여기에 있어 조차 잘 잘 수 없고…. <p/>노라도… 일… 큰 일일 것이다….
tirchonaill.malcolm.75	은행은 아직 정규 운영을 할 수 없는 것 같습니다. <br/>다른 마을에 보내는 교통 편리하게 문제가 일어난 것 같아서…. <br/>… 저, 관계없습니다만… 노라… 에 남자친구가 있다든가 소문은 묻고 있지 않습니까? <br/>최근에는, 마을에 사람도 많고….
tirchonaill.malcolm.76	어째서, 그렇게 소문을 신경씁니까? <br/>자신의 인생과 자신의 가야할 길이 있으면 좋은 것은 아닌지?
tirchonaill.malcolm.77	당신에 대한 소문이 그다지 좋지 않는 것은 알고 있습니까?
tirchonaill.malcolm.78	가게에 틀어박혀 일만 하고 있는 탓인지, 특히 소문 따위는 묻지 않았던 것입니다. <br/>소문에 민감해도, 인생 무엇하나 바뀌는 것 따위 없을 것입니다?
tirchonaill.malcolm.79	티르코네일은 조용한 마을입니다. <br/>그러니까, 무슨 일이 있으면 바로 마을 안에 퍼집니다. <br/>창피를 당한 사람도 상당히 있는 것 같아…. <br/>자신의 행동에 책임을 지는 것이, 무엇보다 큰 일입니다. <p/>트레이시씨와 같은 것은, 곤란할지도….
tirchonaill.malcolm.80	… 잘 모르는 이야기로… 미안해요.
tirchonaill.malcolm.81	나는, 거기에 붙어 전문은 아니기 때문에… 미안해요.
tirchonaill.malcolm.82	미안합니다, 다른 곳을 알아봐 봐 주세요.
tirchonaill.malcolm.83	그만두어 주세요. <br/>
tirchonaill.malcolm.84	어떨까… 그것에 대해서는 자세하게는…. <br/>|미안해요, 모릅니다. |응, 어떨까…. |들은 적 있는 것 같은… 않은 것 같은…. |잘 모르네요…. <br/>응… 수첩의 1개라도 준비해 두어야 할 것인가…. |다양한 사람과 많이 회화를 하므로…. <br/>곧 잊어 버리네요.
tirchonaill.malcolm.85	아, 그것은… 양의 털입니까? <p/>정확히 저기에 물레가 있으므로, 사용해 보면 어떻습니까? <br/>양의 털이라면, 굵은 끈을 만들 수 있다고 생각해요.
tirchonaill.malcolm.86	거미의 실을 가지고 있는 곳을 보면, 방직을 배우고 싶네요? <br/>방직은, 거미의 실이나 양의 털을 사용해 물레로부터 끈(끈)를 만드는 스킬입니다. <br/>던바튼에서는, 이 끈을 사용해 옷감을 만들고 있습니다. <p/>단조로워 힘의 필요한 일인 것으로 최근에는 하고 싶어하지 않는 사람도 있습니다만,<br/>위험도 없게 안정된 스킬이에요. <p/>어, 안 되는… 무심코 이야기가 길어져 버렸습니다. <br/>물레를 클릭 해 주세요. 방직 스킬을 사용할 수 있을 것이에요.
tirchonaill.malcolm.87	음악 스킬에 흥미가 있다면,<br/>여기의 『작곡 스킬 입문서』를 요구하시면 어떻습니까? <p/>많은 물건을 가지런히 하려고는 하고 있습니다만,<br/>이런 시골에서는, 들여올 수 있는 책에도 한계가 있습니다. <p/>던바튼에게는 서점도 있기 때문에,<br/>음악에 관한 서적이라면, 그 쪽을 한 번 돌아 봐서는 어떨까요.
tirchonaill.malcolm.88	오늘은 이제(벌써), 이것으로 끝입니다. <br/>내일, 또 와 받을 수 있습니까?
tirchonaill.malcolm.89	아, 일은 끝났습니까? <br/>지금 보고합니까? <br/>하다가 남기고 있다면, 다음에도 상관하지 않습니다만. <br/><button title='보고한다' keyword='@report'/><button title='보고하지 않는다' keyword='@later'/>
tirchonaill.malcolm.90	그…. <br/>매번돕고 주시고 있으므로, 답례를 하려고 생각합니다만. <br/>보수를 한층 더 올라가기 때문에, 앞으로도 잘 부탁드립니다.
tirchonaill.malcolm.91	아, 감사합니다. <br/>도와 주셔….
tirchonaill.malcolm.92	저, 조금 충분하지 않습니다만…. <br/>아니오, 도와 준 것 뿐이라도 고맙겠습니다. 다만, 보수는 조금 줄어듭니다만… 이해를.
tirchonaill.malcolm.93	그 밖에 갑작스러운 용무이기도 한 것입니까? <br/>라고는 해도, 조금이라도 해 받은 만큼의 보수는 드립니다.
tirchonaill.malcolm.94	으응… 어려웠던 것입니까? <br/>죄송합니다. 일을 하지 않으면 보수는 드려지지 않습니다. 이해해 주세요.
tirchonaill.malcolm.95	마감까지는 부탁드릴게요.
tirchonaill.malcolm.96	아, 지금은 아직 조금…. <br/>좀 더 후, 마감전에 와 주세요. |일은 무사하게 끝났습니까? <br/>잠시 후에 청산하기 때문에, 그 때 보수를 드리네요.
tirchonaill.malcolm.97	도와 주어 감사합니다.
tirchonaill.malcolm.98	그렇습니까… 그렇다면 어쩔 수 없네요. <br/>다른 사람을 찾아 보겠습니다.
tirchonaill.malcolm.99	일은 순조롭습니까? <br/>
tirchonaill.malcolm.100	잘 부탁드립니다.
tirchonaill.malcolm.101	그렇습니까… 그렇다면 어쩔 수 없네요. <br/>다른 사람을 찾아 보겠습니다.
tirchonaill.malcolm.102	아…,<br/>오늘의 일은 끝나 버렸습니다…. <br/>다음으로부터는 좀 더 빨리 오셔 주세요.
tirchonaill.malcolm.103	그 밖에 일을 하고 있는 것 같네요. <br/>일단, 그것을 끝내고 나서 와 주세요….
tirchonaill.malcolm.104	<username/>씨라면, 신뢰할 수 있습니다. <br/>도와 받을 수 있습니까?
tirchonaill.malcolm.105	감사합니다. <br/>정말로 감사합니다.
tirchonaill.malcolm.106	아니요 아니오. 바쁘면 어쩔 수 없습니다.
tirchonaill.malcolm.107	<username/>씨에게 딱 맞는 일이 있습니다만,<br/>부탁할 수 있습니까?
tirchonaill.malcolm.108	에서는, 부탁합니다.
tirchonaill.malcolm.109	차의 기회를 기다리고 있습니다.
tirchonaill.malcolm.110	잡화상의 일을 도우러 와 준 것입니까?
tirchonaill.malcolm.111	감사합니다. 잘 부탁드립니다.
tirchonaill.malcolm.112	나의 오산이었던 것 같네요. <br/>불러 세워 죄송합니다.
tirchonaill.malcolm.113	혼자서 잡화상을 하고 있으면,<br/>작은 마을에도 불구하고, 큰 일입니다. <br/>그렇지만, 최근에는 여러분의 덕분에, 조금 편해졌습니다. <br/><username/>씨도 잡화상의 일에 흥미 있습니까? <p/>도와줘 받을 수 있으면, 그 만큼의 보수를 드립니다.
tirchonaill.malcolm.114	감사합니다. <br/>그럼, 마감때에 또. <br/>끝나지 않아도, 보고만은 반드시 해 주세요. <br/>(이)가 아니면, 나도 다음의 일에게 진행하지 않기 때문에….
tirchonaill.malcolm.115	아, 그렇다면 어쩔 수 없네요. <br/>다음에 기분이 내키면, 또 말을 걸어 주세요.
tirchonaill.malcolm.116	미안합니다만, 지금은 아르바이트의 모집 시간은 아니기 때문에…. <br/>또 다음에 와 주세요.
tirchonaill.malcolm.117	어떻게 하지… 정확히 지금, 사람이 들어온지 얼마되지 않았습니다. <br/>내일 와 받을 수 있으면, 이라고 생각합니다만….
tirchonaill.malcolm.118	감사합니다, 그렇지만…. <br/>오늘은 배달의 일입니다만,<username/>씨의 목록이 가득해,<br/>빈 곳이 없네요. 이번에 또 와 주시지 않겠습니까?
tirchonaill.malcolm.119	미안합니다. 지금은 형편이 나쁘기 때문에, 또 후일 와 주세요….
tirchonaill.malcolm.120	그… 방금전까지 있던 것입니다만, 정원이 가득 차 버렸습니다. <br/>오늘은 이제 일이 없네요.
tirchonaill.malcolm.121	미안합니다만, 지금은 아르바이트의 모집 시간은 아니기 때문에…. <br/>또 잠시 후에 와 주세요.
tirchonaill.malcolm.122	어떤 것을 수리합니까? <br/>여기에서는 악기, 안경 등 잡화의 수리를 할 수 있습니다. <repair rate='{0}' stringid='(*/misc_repairable/*)|(*/pouch/bag/*)'/>
tirchonaill.malcolm.123	자, 1포인트 수리가 끝났습니다. |수리의 성과도 좋네요. |제대로 회복되어 나도 기쁩니다.
tirchonaill.malcolm.124	아… 미안합니다. |아… 미안합니다.
tirchonaill.malcolm.125	미안합니다만, 수리비는 수취인 부담입니다. |어떻게 할까요? <br/>지금 돈이 없으면, 다음에 가져와 받을 수 있습니까? |실례하지만… 돈은 가지고 있습니까?
tirchonaill.malcolm.126	이제 수리하는 것은 없습니다.
tirchonaill.malcolm.127	응?
tirchonaill.malcolm.128	완전하게 회복되었습니다. |완벽하게 수리할 수 있었습니다. <br/>나도 조금 깜짝입니다. |수리가 완전하게 끝났습니다.
tirchonaill.malcolm.129	{0}포인트의 수리를 할 수 있었습니다. <br/>미안합니다만{1}포인트의 수리에 실패해 버렸습니다.
tirchonaill.malcolm.130	아…. <br/>수리가… 수리가…. <br/>전혀 되어 있지 않습니다… 정말로 미안합니다.
tirchonaill.malcolm.131	미안합니다만, 수리비는 수취인 부담입니다. |어떻게 할까요? <br/>지금 돈이 없으면, 다음에 가져와 받을 수 있습니까? |실례하지만… 돈은 가지고 있습니까?
tirchonaill.malcolm.132	이제 수리하는 것은 없습니다.
tirchonaill.malcolm.133	응?
tirchonaill.malcolm.134	좋은 일지도 할까요? <br/>축복 포션으로 아이템을 축복하면,<br/>장비 한 아이템의 내구도의 떨어지는 수리의 실패하는 확률이<br/>줄어듭니다. <br/><repair hide='true'/>
tirchonaill.malcolm.135	아…. <br/>이것, 당분간 내가 가지고 있어도 괜찮습니까? <br/>… 요컨데, 내가 흥미를 가지고 있는 아이템입니다만. <p/>어? 받을 수 있습니까? <br/>감사합니다. 정말로 기쁩니다.
tirchonaill.malcolm.136	감사합니다… 정말로….
tirchonaill.malcolm.137	감사합니다.
tirchonaill.malcolm.138	… 이것은… 조금 곤란한 선물이군요…. |아… 네… 감사합니다….
tirchonaill.malcolm.139	… 응… 작년마을의 축제 때, 여장은 해 보았습니다만…. <p/>이것은 조금 의외이네요. 어쨌든 받습니다….
tirchonaill.malcolm.140	…. <p/>…… 하~. <br/>(말콤은 한숨을 쉬었다.)<p/>… 여신을 구해, 생활은 좋아졌습니까…?
tirchonaill.malcolm.141	낚시 스킬입니까…? <br/>특별히 뭔가 배울 필요는 없고,<br/>다만 낚싯대와 먹이상자만 장비 하면 괜찮아요. <p/>도구라면 여기서 팔고 있기 때문에,<br/>낚시에 흥미가 있다면 봐서는 어떻습니까?
tirchonaill.malcolm.142	실은 조금 걱정이었던 것입니다만,<br/>지금부터는<username/>씨라면, 안심해 일을 맡길 수 있네요. <br/>이것은, 내가 준비한 그저 마음입니다. <br/>마음에 든 것을 가져 가 주세요. <button title='보고하지 않는다' keyword='@later'/>
tirchonaill.malcolm.143	네. 그럼 다음에 모여 주세요. <br/>… 너무 늦어도 안 되기 때문에.
tirchonaill.malcolm.144	(회화를 할 수 없다.)
tirchonaill.malcolm.145	(말이 통하지 않는 것 같다.)
tirchonaill.malcolm.146	[5]도면
tirchonaill.malcolm.147	[5]도면
tirchonaill.malcolm.148	[0]잡화;[1]모자;[2]구두 글로브;[3]의상;[4]고급 의상
tirchonaill.malcolm.149	에린의 세계를 지킨<username/>씨군요? <br/>모두, 당신의 일만 이야기하고 있어요. <p/><username/>씨는, 굉장하네요. <br/>실은 조금 부러웠다거나 합니다.
tirchonaill.malcolm.150	… 그런 책은<br/>팔지 않아요~.
tirchonaill.malcolm.151	유감입니다만… 이런 시골에는 있어도 의미가 없습니다. <br/>그리고, 이 마을은 우리 우레이드, 파르홀론족의 자손들이<br/>구축하고 지켜 온 자치구이니까, 필요도 없다고 생각하고 있습니다. <p/>그렇게 말하면, 무엇이라고 말했던가~? <br/>없앤 것을 찾아에 일부러 관청까지 가지 않으면 안 된다고 말하는 사람도 있던 것이지만,<br/>그렇다면 던컨 촌장에게 들어 봐 주세요. <p/>새로운 모험자가 오면 하나 하나 인사는 해 주어요~,<br/>집안에 이상한 고양이는 마음대로 살기 시작해요~,<br/>이번은 분실물까지 찾아 주지 않으면 안 된다 같은…<br/>촌장도 큰 일이에요~.
tirchonaill.malcolm.152	월병으로 125cm 넘게 커지시다니 대단하세요! <br/>정말 운이 좋으신 분이시네요. <p/>그런데 바로 작은 키로 돌아가고 싶으시진 않을까요? <br/>10개 키로 돌아가는 포션이 좀 있는데 드리겠습니다.
tirchonaill.malcolm.153	10개 키가 되는 포션을 받으시려고요? <br/>저도 그 포션을 많이 갖고 게 아니라서... <br/>포션을 또 받고 싶으시면 현실 시간 다음 날 와 주세요
tirchonaill.malcolm.154	요즘은 마법 월병을 먹고 키가 커진 분들이 계시더라구요. <br/>너무 커지면 멋지다기 보단 불편해 보이던데요? <br/>... <br/>노라도 별로 안좋아할 것 같고... <p/>아,<br/>혹시 월병을 먹고 커진 키가 125cm 가 넘게 되면 들러주세요. <br/>도움이 될 만한 아이템을 드리겠습니다.
tirchonaill.malcolm.155	말콤의 재봉 킷을 받았습니다.
tirchonaill.malcolm.156	재봉 킷이 없는 것 같네요. <br/>반지 찾기가 잘 되지 않았던 것입니까. <br/>어쨌든 또 하나 드리기 때문에,<br/>반지 찾기를 잘 부탁드립니다.
tirchonaill.malcolm.157	재봉 킷을 드리려고 생각한 것입니다만, 받을 수 없는 것 같네요. <br/>목록을 비워 받은 뒤, 건네주겠습니다.
