emainmacha.subnpc.cecil.1	세실 데뷔.
g2.173	잘 이해 할 수 없었던 것 같다. <br/>한번 더 이야기해 주자. <p/><image name='G2_Ch13_paladin_dknight'/>우리들 팔라딘은 어둠의 세력을 대표하는<br/>포워르의 다크 나이트들과<br/>싸우기 위해서만들어진 존재. <p/>… 내가 팔라딘의 대장을 맡겨지고 있는 이상 <br/>이멘마하의 참극과 같은 (일)것은 두번다시 일으키게 하지 않는다. <p/>… 그건 그렇고,<br/>너는 정말로 알고 싶은 것인지…? <br/>안색을 듣고 있는 곳을 보면<br/>누군가에게 말해져 묻고 있는 것 같기도 한데….
g2.174	클레이그님이 꾸짖을 수 있던 것 같네요? <p/>얼굴에 써 있어요. <br/>클레이그님은 마족의 일을 마음속으로부터 미워하고 있는 것 같습니다. <p/>이전, 참극이 일어났을 때, 아들을 조금 더 하면 잃을 상황이었다고 합니다. <br/>에스라스님이 없었으면, 당시 아기였다 그 아이는 그대로<br/>죽어 버렸는지도 모른다고 합니다. <p/>덕분에, 지금도 클레이그님은 에스라스님의 일을<br/>매우 신뢰하고 있는 것 같습니다. <br/>대역으로 되는 일도 싫어하지 않을 정도(수록), 충성을 바치고 있는 것 같아요. <p/>그 때, 나는 무엇을 하고 있어도? <br/>후후, 나도 작았던 것이에요. 당연한일이면서. <br/>이제(벌써), 나의 일 몇 살이라고 생각하고 있습니까~.
g2.175	자신의 좁은 시야에서만 봐<br/>보이는 것도 안보이게 되는 일이 있습니다. <br/>이것은 나의 존경하는 선배가 가르쳐 준 말입니다. <p/>뭔가를 찾고 있다면, 보다 넓은 시선으로<br/>볼 수 있도록해 주세요.
g2.176	클레이그는 팔라딘의 대장으로서 말하지 않으면 안 되는 것을<br/>말했을 때까지다. <br/>하지만…, 그 클레이그도 뭔가 의문을 느끼고 있을 것이다…. <p/>더 이상의 일은 말할 수 없지만,<br/>클레이그보다, 프라이스라고 하는 인물에게 이야기를 들어 보면 어때? <p/>그에 대해서는 잘 모르지만,<br/>리다이아에 대해 여러가지 조사하고 있는 것 같다. <p/><title name='NONE'/>(아이딘은 뭔가를 생각하고 있다.)<p/>아니…, 아무것도 아니다. <br/>다만, 왠지 모르게 나는 프라이스를 옛부터 알고 있는 생각이 든다. <br/>아무튼, 기분탓이라고 생각하지만.
g2.177	어려운 일을 묻는군요…. <br/>예와 화제를 바꾸지 않습니까?
g2.178	네─어째서 그런 일을 나에게 묻는 거야? <br/>이제(벌써), 누구에게 들으면 좋을까인가는 잘 생각하지 않으면.
g2.179	도대체 무엇을 묻고 싶은 것인지 전혀 모르네요. <br/><username/>씨와는 달라 영주님과 나는 이 이멘마하의<br/>실무를 처리하고 있으므로 몹시 바쁩니다. <p/>슬슬 자리를 떼어 받을 수 있지 않습니까…?
g2.180	응? … 자…<br/>아니, 그런 일 한번도 생각해 보았던 적이 없어서 말야. <p/>뭐, 팔라딘은 인간을 지켜 주는 성스러운 기사로,<br/>다크 나이트는 마족의 아군으로 사악한 기사로…. <p/>양쪽 모두가 서로 싸우는 것은, 당연한 것이 아닌가?<br/>다크 나이트부터 보면 팔라딘은 나쁜 녀석들이고,<br/>팔라딘으로부터 보면 다크 나이트가 나쁜 녀석들이라는 것 되고,<br/>아무튼, 그런 것이니까, 서로의 욕을 말한다는 것은…. <p/>위, 그렇게 생각하면, 뭔가 프라이스씨가<br/>다크 나이트가 편을 듣고 있는 것 같게 보이네요. 하하하. <br/>아, 농담이야 농담. 알고 있을 것이다?
g2.181	팔라딘이 선의 대행자라면, 다크 나이트는 악의 대리인이다. <br/>다행히 나도 아직 한번도 만난 일은 없지만, 전장에서는 다양한 소문을 들었다. <p/>실제로, 다크 나이트와 만나 살아 남은 사람은 없는 것이니까,<br/>당연이라고 하면 당연한 일이지만. <br/>리다이아정도의 실력이 없으면 살아 남는 것은 우선 불가능할 것이다….
g2.182	아무래도, 꽤 고민하고 계시네요…. <br/>나에게는 어느 쪽이 올바르다고는 말씀드려지지 않습니다만,<br/>클레이그씨의 이야기도, 프라이스씨의 이야기도 어느 쪽에도<br/>진실은 담겨져 있는 것이라고 생각하는<p/>클레이그씨는, 특히 리다이아씨를 존경하고 있는 것 같으니까<br/>그의 일에 대해서는 민감하게 반응하겠지요. <p/>이멘마하에서는, 그 때, 가족을 없어진 사람들이 많습니다. <br/>실제의 곳, 소중한 사람을 잃고 있는 사람에 비하면,<br/>에스라스님의 덕분으로 아들을 구할 수 있었던 클레이그씨는<br/>행운이었다고 말할 수 있습니다만…. <p/>덕분에 지금의 팔라딘 기사단이 생긴 것입니다. <br/>대장인 클레이그씨보다 에스라스씨의 영향이 커져버렸습니다만…. <br/>아, 아니, (가)왔어요, 지금 것은 묻지 않았던 것으로 해 주세요. 하하하….
g2.183	후후… 확실히, 사람으로부터 들은 이야기만으로 사물을 판단하는 것 어려워요. <p/>백문이 불여일견…. <br/>확실히 자신의 눈으로 봐 체험한 분이 판단하기 쉽네요. <p/>그렇다고 해서 모든 일을 체험하려면 무리가 있어요. <br/>그 때문에 책 따위도 있지만…. <p/>나는, 지금, 당신이 이렇게 해 고민하고 있는 일은<br/>결코 쓸데없는 일이라고는 생각하지 않아요. <br/>어쨌든, 좀 더 노력해 보는 것이 좋은 것이 아닐까.
g2.184	응, 팔라딘과 다크 나이트라고? <p/>광산의 돈만 모으고 있는 팔라딘과<br/>던전안을 헤매는 다크 나이트가<br/>싸우는 일이 있는지? <p/>아무튼, 이런 일은 성의 전에 우뚝서고 있는 녀석에게는 말할 수 없지만. <br/>핫핫학.
g2.185	진실이 안보이면,<br/>그 의문을 꺼낸 사람들로부터 한번 더 만나 봐서는 어떻습니까. <br/>어떤 방법인가는 모릅니다만, 그 사람들도 또<br/>진실을 요구하고 방황하고 있는 사람들이기 때문에…. <p/>클레이그 대장이나 프라이스씨… 그러한 분들과<br/>한번 더 서로 이야기해 봐서는 어떻습니까..
g2.186	<username/>씨는 이상한 일만 물어보고 다니고 있군요…. <br/>이 마을에는, 마족에 강한 미움을 갖고 있는 사람이 많아요…. <br/>그런 일을 물어보고 다니면,<username/>씨 심한 꼴을 당해 버릴지도 모릅니다….
g2.187	<username/>씨는 정말 바뀐 일에 좋아하는. <br/>응… 그런 이야기는 아니고 뭔가 다른 이야기로 하지 않습니까? <br/>나와 함께 있는데, 나 이외의 일만 생각하다는<br/>나, 그러한 것 조금 허락할 수 없을까? <p/>그런 것이라면, 필요 없는 나는 해산해 버릴까? <br/>후후후….
g2.188	무슨 말을 하고 있다? <br/>팔라딘이 선, 다크 나이트가 악을 상징하고 있는 것은<br/>상식이 아닌가. <p/>너가 팔라딘코스를 그만두어 그들을 의심한다는 것이라면<br/>그것은 팔라딘을이 되는 개자신을 정당화 시키려고 하고 있을 뿐인 것이 아닌가? <br/>우선은 자신의 일을 되돌아 보는 것이 좋은 것이 아닌가.
g2.189	그런 일은, 나에게는 잘 모르지만…? <p/>다크 나이트라고 해도,<br/>실감이 끓어 오지 않고….
g2.190	팔라딘인가…. <p/>위대한 왕루가 사라지고 나서<br/>팔라딘의 성질도 상당히 바뀐 것 같다…. <p/>그러나,<username/>…. <br/>어떤 일에 대해도 제일 중요한 것은<br/>사물의 본질인 것이야. <p/>여신이 너에게 부탁한 것도<br/>아마 그것을 의도하고 있는 것은 아닐까…. <p/>이 세상의 선입관에 의해<br/>받고 들어가져 있는 팔라딘이라고 하는 이름은 아니고,<br/>진정한 의미의 팔라딘을. <p/>거기에, 너가 요구하고 있는 회답도<br/>있는 것은 아닐까…?
g2.191	너가 무엇을 생각하고 있을까는 잘 모르지만,<br/>그 판단은 너자신이 실시하지 않으면 안 된다. <p/>이 세상에서, 올바른 일이나 그렇지 않는 것을<br/>정확하게 판단할 수 있는 인간 같은 것, 대부분 없기 때문에. <p/>실로 올바른 일과 그렇지 않는 것을 추구하는 것보다<br/>자신이 올바르다고 믿는 것을 관철하는 것이,<br/>그것이 중요하지 않은 있고인가?
g2.192	……. <p/>나는 그다지 이야기하는 것이 없습니다.
g2.193	다크 나이트는 마족 가운데에서도<br/>몹시 무서운 존재입니다. <p/>악신의 키홀아래에서 모든 마족을<br/>총괄하고 있었다고 해도 과언이 아닙니다. <p/>그러나… 나는 어디선가<br/>그가 원래는 인간이었다고 말하는 소문을<br/>들었던 적이 있습니다. <p/>사실인가 어떤가는 확인할 수 없습니다만…. <br/>타르라크씨의 스승이 경험한 것을 생각해 보면<br/>혹시… 그것이 사실일지도 모릅니다. <p/>그렇다면…. <p/>여신 모리안에 따르고 있는 팔라딘도,<br/>악신 키홀에 따르고 있는 다크 나이트도<br/>결국은 같은 인간…. <p/>……. <p/>나는 어떻게 판단하면 좋은 것인지 모릅니다. <br/>다만, 라이미라크님의 생각과 여신 모리안의<br/>의지를 믿을 수 밖에 없는 것인지도 모릅니다….
g2.194	팔라딘과 다크 나이트? <p/>그런 일은 스스로 생각해서는 안된거야? <p/>다른 사람의 머리를 빌리려고 하는 것은,<br/>게으름 피우고인 것이야. 얼간이.
g2.195	팔라딘이 상징하는 것이 좋은들<br/>다크 나이트가 상징하는 것은 악그 자체…. <p/><username/>씨도 보았을 것입니다. <br/>그라스기브넨의 옆에 서 있던 사악한 힘을…. <p/>그는 너무 강했다. <br/>우리들 세 명이 힘을 합해도 상대 할 수 없을 정도(수록)…. <p/>……. <p/>녀석에게 이길 수 있는 것은, 혹시<br/>여신의 말하는 팔라딘만일지도 모릅니다. <p/><username/>씨, 빨리 팔라딘이 되어 주세요. <br/>진정한 힘을 가진 팔라딘에….
g2.196	<image name='g2_Ch16_beggar'/>그렇네요? 궁핍한 사람이라면…. <br/>분명히, 광장에 언제나 거지가 앉아 있네요…. <br/>어떤 사정이 있을까 달리지 않지만,<br/>제대로 먹고 있는지 어떤지도 모르네요. <p/>아, 그렇지만, 그렇게 생각하면, 네일씨와 그다지 바뀌는 것이 없는 것인지도….
g2.197	<image name='g2_Ch16_beggar'/>궁핍한 사람을 돕는다면…. <br/>나는 잘 모르네요. <br/>광장에 있는 거지에 돈으로도<br/>주어 보면 어떻습니까? <p/>그렇지만, 건강한 사람에게 공짜로 돈을 주는 것이<br/>과연 좋은 행동이라고 말할 수 있을까.
g2.198	궁핍한 사람 돕기일은 좋은 일이라고 생각하지만,<br/>가난으로부터 빠져 나가려면, 좀 더 근본적인 곳을 해결하지 않으면. <p/>빈부의 차이란, 그 사람의 능력이나 지위, 교육이나 환경에 의해 변화한다. <p/>조금의 돈은 일시적으로 도움이 될지도 모르지만,<br/>긴 눈으로 보면 무슨 도움도 되지 않는구나.
g2.199	선행이라면? <p/>… 팔라딘으로서의 수행을 포기했는지라고 생각하면<br/>또, 이상한 일을 생각하고 있는 것 같다<p/>스스로의 판단으로 그만둔 것이다<br/>그것도 스스로 판단하는 것이다.
g2.200	궁핍한 사람을 돕고 있습니까? <br/>정말로 좋은 일을 하고 계시는군요. <username/>씨는. <br/>정말로 가난한 사람들은, 그 날의 식사조차 제대로 먹을 수 없으며,<br/>옷도 그렇고…. <p/>만약<username/>씨의 도움으로 혼자라도<br/>밥을 먹을 수 있다면, 매우 훌륭한 일이라고 생각합니다.
g2.201	<image name='g2_Ch16_beggar'/>가난합니까? <br/>저기의 앞에 있는 거지의 일입니까? <p/>언제나 저기에 앉아 거지 하고 있지만<br/>정직하게, 조금 조용하게 해 주었으면 합니다. <p/>… 가끔, 정말─에 가끔입니다만<br/>거지 하는 소리가 여기까지 들려 옵니다. <br/>저것이 뭐라고도 말하지 못하고 정말로 싫습니다~.
g2.202	명부터 먼저<username/>씨<br/>자신의 일을 돌아보는 것은 어떻습니까…? <p/>내가 보는 한 지금의 당신은 사람을 도와 줄 여유 따위 없는 것 같아요. <br/>그런데도, 아무래도, 누군가를 도와 주고 싶다고 한다면<br/>나부터는 멈출 생각은 없습니다만…. <br/>그 일은 이해해 두어 주세요.
g2.203	가난을 돕고 싶다는? <br/>아, 가난이라든지를 위한 모금 어떻게든의 일? <p/>그렇다면, 음식을 주거나<br/>돈을 주거나 하면 좋잖아? <br/>그런데, 어떤 사람에게 주려고 하지? <p/>이멘마하는, 이렇게 보여도, 상당히 풍부한 도시다. <br/>궁핍한 사람은 그다지 없을 것….
g2.204	가난을 돕는다면, 역시 돈이지요! <p/>배가 비어있는 사람에게는 음식을,<br/>돈이 없는 사람에게는 돈을, <br/>외로운 사람에게는 연인을…. <br/>그것이 최고는 아닙니까?
g2.205	가난한 사람? <br/>가난한 사람을 돕는다면<br/>역시 뭔가 일을 주는 것이 좋을 것이다. <p/>아이에게 물고기를 주고 싶다면<br/>물고기를 주지 않고, 낚시하는 방법을 가르쳐라<br/>라고 하는 낡은 말에도 있겠지? <p/>일하지 않는 것 먹지 말것! <br/>사람에게 매달려 먹고 살아있는 녀석들은<br/>아사해도 되는 녀석들이다!
g2.206	가난한 사람을 돕기 위한 방법,<br/>의 일을 말하고 있습니까? <p/>… 그렇네요, 거기에는 여러가지 방법이 있습니다. <br/>교회등으로 주최하는 자원봉사 활동에 참가하는 방법이나<br/>또, 기부를 하는 것도 좋으며…. <p/>그렇지만, 표면화해 누군가를 돕거나 하는 것은<br/>그만두는 것이 좋습니다. <p/>받는 측이 도와 주는 사람에 대해 필요 이상의 감정을 가지거나<br/>돕는 사람에게 의존해 버리거나 하는 것은 올바른 일이라고는 할 수 없을 것입니다. <p/>누군가를 돕고 싶으면 익명으로, 그 사람이 자립할 수 있도록 격려해 준다. <br/>그런 형태가 좋다고 생각해요.
g2.207	그렇구나, 이런 식으로 풍부하게 보이는 이멘마하에서도,<br/>궁핍한 사람은 확실히 있어요. <p/>그렇게 말한 궁핍한 사람들을 위해서 성당에서도 다양한 구제 활동을 하고 있는거야. <br/>흥미가 있다면 성당에 가고 이야기를 들어 보면 좋아요.
g2.208	부자도 아닌데,<br/>궁핍한 사람을 돕는이래? <p/>이봐 이봐, 여기는 이멘마하다? <br/>가난한 사람이라고 있는지? <p/>그런 돈이 있다면<br/>뭔가 음료라도 부탁해 가 주어라.
g2.209	가난한 사람을 돕고 싶다는? <p/>, 너, 부자가 될 수 있는지? <br/>그것보다 우선은 자신의 일 견실한 분이 좋은 것이 아닌가?<p/>그런 돈이 있다면, 옷이라든지 일착 사면 어때? <br/>여기에 올 때는, 이제(벌써) 조금(뿐)만<br/>몸가짐에도 신경써 받을 수 있으면 기쁘지만.
g2.210	가난한 사람을 돕고 싶습니까? <br/>아하하는, 그것은 굉장해. <br/>가난한 사람이라면, 이봐요, 지금<username/>씨의 눈앞에 있지 않습니까. <p/>……. <p/>아는… 하하하… 농담입니다. <br/>다른 사람으로부터 보면 가난하고 불쌍하게 볼 수 있을지도 모릅니다만…. <br/>나에게 있어서는, 가난하지만, 이 생활이 즐겁고 별로 곤란하지 않아요. <br/>뭐, 나는 행복하기 때문에, 그런 것은 신경쓰지 않습니다. 하 하…. <p/>그렇네요… 정말로 누군가를 돕고 싶으면<br/>저기의 앞에 앉아 있는 거지는 어떻습니까…? <p/>내가 연주를 하면 가끔 코를 골면서, 푹 잡니다. <br/>나의 음악이 마치 자장가같이. <br/>정말로 좋은 갤러리입니다… 아하하하….
g2.211	가난합니까…? <br/><username/>씨는, 상냥한 사람같네요─. <p/><username/>씨,<username/>씨. <br/>나도 로즈 플레이트 밖에 입을 수 없고…. <br/>굉장히 궁핍해요… 훌쩍훌쩍…. <p/>… 어라, <username/>씨, 어떻게 한 것입니까―. <br/>안색이 좋지 않은 것 같아요…? <br/>푸르러지거나 붉어지거나…. <p/>네 있고… 시시한 것은 신경쓰지 않는 것이 좋아요. <br/>… 파업… 어떻게든…. <br/>그것은, 건강에 좋지 않다고 합니다~.
g2.212	어머나, 갑자기 무슨 일이야? <br/>좋은 일을 하고 싶다는. <p/>그렇구나 가난한 사람을 돕는다고 하면,<br/>역시 경제적인 지원이 제일이라고 생각하는데…. <br/>그렇지만 돈을 주기만 하면 좋다는 것은 없다고 생각해요. <p/>그런 사람들에게 있어 정말로 필요한 것은<br/>외로움을 위로해 주어 자신을 되찾게 하는<br/>일이 아닐까…?
g2.213	네~와 가난한 사람을 도와 주는 방법입니까? <br/>그 사람들이 궁핍함으로부터 탈출할 수 있도록<br/>서포트 해 주는 것이 좋은 것이 아닙니까? <br/>일을 알선 해 주거나 든지…. <p/>공짜로 돈을 주거나 하는 것은<br/>그 사람을 바보취급 하는 것 같고 싫습니다. <br/>내가 받는 측에서도, 조금 싫네요.
g2.214	하 하… 훌륭한 일을 생각하고 있네요. <br/>그렇다, 사람을 돕는다면<br/>그 사람에게 제일 필요한 것으로 주는 것이 좋을 것이다…. <p/>가난한 사람들에게, 자신의 재산을 나누어 주는 것은,<br/>라이미라크님도 추천하는 것이군요. <p/>신님이 가라사대, 너의 봉투가 무거우면<br/>무거울수록, 너의 죄도 거기에 비교해 무거워지기 때문에,<br/>무거운 봉투를 이웃과 나누면<br/>그 죄도 가벼워질 것 같습니다. <p/>이 말을 기억해, 자기보다 궁핍한 사람들에게<br/>재산을 나누어 주는 것도 좋을지도 모른다.
g2.215	…? <br/><username/>씨, 선행을 하고 싶습니까? <br/>그래서, 사람을 치료를 해 보고 싶습니까…? <br/>… 그렇네요, 의미 있는 것이군요. <p/>… 그렇지만, 아직<username/>씨의 능력으로는<br/>전문적으로 사람을 치료하는데는 조금 무리이면…. <br/>그래, 무거운 병에 걸린 사람의 치료를<br/>무조건<username/>씨에게 맡길 수 없는 것이 아닙니까…? <p/>… 그러니까… 일단, 이렇게 해 보는 것은 어떻습니까? <br/>간단일 뿐, 상처 된 분 중(안)에서 치료할 수 있는 사람을<br/>내가 리스트로 해 주기 때문에, 그대로 해 봐 주세요. <br/>해 봐, 그 후, 나에게 이야기해 주세요? <button title='계속한다' keyword='@continue'/>
g2.216	그렇다면… 방금전 받은 리스트를 확인해 봐 주세요. <br/>아마, 응급 치료의 방법을 먼저 배우지 않으면 안됩니다. <br/>응급 치료는 상처의 악화를 예방하는 스킬입니다. <p/>네와… 말에서는 전부 설명할 수 없기 때문에,<br/>일단, 직접 응급 치료 스킬을 기억하지 않으면 안됩니다. <br/>그리고, 다섯 명 정도를 치료 해 줍니다.
g2.217	<username/>씨는, 다행히 응급 치료 스킬이 있는 것 같으니까<br/>곧바로 상처나고 있는 사람들을 도울 수가 있네요. <br/>노력해 주세요.
g2.218	명을 돕는 것은 간단하지 않네요…. <br/>환자를 위해서 자신을 희생 하는 것입니다…. <p/>만약, 어려운 일이 있으면<br/>주위의 사람들에게, 들어 보는 일도 좋은 방법이 된다고 생각합니다.
g2.219	… 환자들을 직접 도운 적 있습니까? <p/>한 번이라도 경험이 있으면,<br/>말과 같이 간단하지 않는 것이라고<br/>안다고 생각합니다. <p/>그런데도 덧붙여 의지가 있다면<br/>치료자의 아그네스의 곳에 가<br/>들어 봐 주세요.
g2.220	치료하는 사람을 찾는다면, 여기가 아니게<br/>전투가 일어나고 있는 분<br/>이 아닙니까? <p/>이멘마하 가까이의 던전이라든지<br/>센마이의 평원에 가 보세요.
g2.221	환자를 돕는다면<br/>치료자의 아그네스에 들어 보면 어때?
g2.222	응급 치료인가…. <br/>아이의 무렵, 그것을 배우기 (위해)때문에<br/>고생한 것을 생각해 내는구나. <p/>이 근처로는, 공격하면, 곧 죽어 버리는 것 같은<br/>약한 몬스터 이외는,<br/>한사람은 위험한 정도 강한 몬스터 밖에 없기 때문에…. <p/>한사람, 성격이 급한 녀석이 있어<br/>결국, 그 녀석은 다 배우는 것이 할 수 없었던 것이다. <br/>마법도 지긋지긋하다고 배우지 않았던 녀석 나오는거야…. <p/>… 지금은 생사 불명해 행방불명이 되어 있다. <p/>옛날 일이지만.
g2.223	팔라딘 수행을 그만둔 너가<br/>여기에 와도 줄 수 있을 것 따위 없어. <br/>알면 돌아가라.
g2.224	상처난 수련생을 치료하러 왔어? <br/>너의 힘을 빌릴 정도로<br/>심하게 상처나고 있는 녀석은 있지 않아. <br/>돌아가라.
g2.225	환자라면… 그렇네요,<br/>으응, 막 생각해 떠오르는 사람이 없습니다. <p/>네일씨가 잘 감기에 걸리는 것 같지만…. <br/>언제나 아그네스씨가 분명하게 보살펴 주기 때문에<br/>도움은 필요하지 않다고 생각합니다.
g2.226	네, 병에 걸린 사람 대신에<br/>상처난 사람들을 치료 해 줍니까? <br/>정말로 노력하고 있군요. <p/>그런데… 준비는 벌써 끝나고 있습니까? <br/>상처난 사람들을 치료한다면 붕대는 필요하고,<br/>아, 피닉스의 날개도 있는 편이 좋을까…. <p/>만약, 부족했으면 사 두어 주세요.
g2.227	환자입니까? <br/>응, 주위에 그런 사람은 그렇게 없다고 생각하지만…. <p/>아─그것보다<username/>씨 쪽이, 좀 더 위험하지 않습니까? <br/>모험가의 분은, 언제나 붕대를 감거나<br/>기절해 돌연 광장에 나타나거나…. <p/>사람의 일 걱정하는 것보다<br/>자신의 상처를 치료하지 않으면 안됩니다. <br/>
g2.228	어머나, 아그네스 누나의 일을 돕고 있는 것 같네요? <br/>후훅 좋은 일을 하고 있군요. <p/>혹시, 붕대나 피닉스의 날개가 부족하게 되거나는 없지요? <br/>먼 곳에 나간다면, 미리 많이 사 두지 않으면. <br/>먼 곳까지 가 보충에 돌아오다니 굉장히 귀찮아요~. <p/>… 무엇입니다? 팔고 있는 곳입니다?<br/>물론 아그네스 누나의 치료자의 집입니다. <br/>이제(벌써), 그런 것이라면 아그네스 누나의 곳에 갔을 때에<br/>함께 들어 준다면 좋았을텐데.
g2.229	환자를 돕고 싶습니까…? <br/>뭐… 당신이 생각한 것으로서는, 나쁜 것은 아니네요. <p/>옛날, 이멘마하에 대규모의 침략이 있었을 때는<br/>나도 양손을 피투성이로 해 사람들의 치료했습니다. <p/>덕분에, 나의 일을 성자라든지, 어떻게든 부르는 사람들도 나와 버렸습니다만,<br/>나는 다만, 자신이 해야 할 일을 한 것 뿐입니다. <p/>덕분에, 영주님도 나의 일을 믿어<br/>많은 일을 맡겨 받을 수 있게 되었습니다.
g2.230	상처난 사람들을 치료하고 싶습니까? <br/>그런데, 어째서 여기에 왔는지 알기 어렵습니다. <p/>영주님은 피계십니다. <br/>떠들지 않고 자리를 떼어 받을 수 있습니까?
g2.231	~있고<username/>, 들었어―?<br/>최근, 사람을 돕고 돌고 있다고? <p/>상처나고 있는 사람을 도와? <br/>감싸는, 그렇다면 나나 나도! <br/>나짐등 있고 생각이 많이 있다. 아는 거야? <p/>아무튼 생각해 봐 주어라…. <br/>나의 스승, 그리고 그 주먹,<br/>저것에 맞으면 이 나의 섬세한 뼈는 어떻게 된다고 생각한다. <p/>최근이 되어 나도 맞는 일에 익숙해 왔는지<br/>그렇지 않으면, 스승의 힘이 약해졌는지<br/>전보다는 아프지 않게 된 것 같은 생각도 드는데 말야…. <p/>이따금, 시나가 응급 치료 할 수 없었으면<br/>어떻게 되어 있었는지라고 생각한다~.
g2.232	무엇이다, 너도 응급 처치를 배워<br/>사람들을 치료해 돌 생각인가? <p/>그렇다…. <br/>마을에서 치료를 필요로 하는 사람은 그렇게는 없는 것이 아닐까? <p/>내가 생각컨대, 던전이라든지에 가지 않으면<br/>그런 사람들은 없다고 생각하는데 말야. <br/>근처에 있는 코일 던전이나 룬다단젼에 가 보면 어때?
g2.233	환자를 돕고 싶습니까? <br/>위~미담, 그것은 미담이에요. <br/>내가 할 수 있는 것이라면 뭐든지<br/>도와 주고 싶습니다만…. <p/>그것이, 뭐, 일이 바쁘기 때문에<br/>도저히 다른 일에는 손길이 닿지 않으니까. 헤헤…. <p/>만약, 누군가가 병이라고 들으면<br/>내가, 재빠르게<username/>씨에게 알리기 때문에.
g2.234	악,<username/>씨군요! <br/>유감입니다만, 아직 병에 걸렸다고 하는 사람은 없는 것 같아…. <p/>에? 병에 걸린 사람의 대신에 상처난 사람을<br/>치료하기로 해도? <br/>그렇다면, 그야말로, 이 가르빈에<br/>들어야 합니다! <p/>일단, 나의 뒤에 있는 전망탑! <br/>여기를 올라 봐 주세요. <br/>그렇다면, 아마 멀리<br/>보이는 것이 있습니다. <p/>뭔가는? <br/>네 있고… 그것은 직접 보지 않으면…. <br/>나 <username/>씨이니까, 특별히 가르쳐 줍니다. <p/>저것, 케오섬은 있는 것이 아닙니까? <br/>그곳에서는 잘 보입니다! <br/>망원경이 최고입니다~<p/>네? 그것이 무슨 관계 있을까하고? <br/>아, 그것은 당연히<br/>케오섬이라고 말하면, 잊혀진 골렘과 몬스터들로<br/>가득한 섬은 아닙니까! <p/>상처나고 있는 사람들을 치료한다면<br/>그 섬이 최고라고 말하는 이야기입니다. <br/>누가, 날개를 사용해 주세요는 눕고 있는지도<br/>주의해 보세요! <p/>에에, 이므로, 만약 괜찮았으면<br/>한 번 구경해 봐 주세요~<br/>정말로 도움이 된다고 생각합니다~
g2.235	아프다는? <br/>병에 걸리는 것은, 기합이 부족하기 때문이다! <br/>하루에 삼식 제대로 먹어, 운동을 열심히 하면<br/>병에 따위 안 된다. <p/><username/>, 너도 항상, 게으름 피우지 말고,<br/>열심히 운동해 건강에 조심한다! 알았군?
g2.236	응? 부상자를 치료한다고? <br/>아, 그것 좋은 일을 생각했군. <p/>뭐, 최초부터 부상하지 않게 게으름 피우지 않는 것이<br/>제일 중요하지만…. <p/>아무래도 모험가 서 모든 것이<br/>숙련 하고 있는 것이 아니니까. <br/>노력하는 것이야!
g2.237	환자를 돕습니까…? <br/>는은, 요즘은, 좋은 일을 하는 사람이<br/>증가했다고 생각했지만…. <p/>뭐, 일단, 전문가에게 가<br/>들어 보면 어떻습니까? <br/>치료자의 아그네스짱입니까. <p/>최근에는 모험가들이 많이 와<br/>매우 바빠진 것 같아요.
g2.238	은은, 아무래도 바쁜 것 같았기 때문에<br/>아그네스짱에게 미션을<br/>받은 것 같네요. <p/>, 부상을 치료하고 싶었으면<br/>보통, 모험가들이 자주 가는 곳에<br/>많은 것이 아닙니까? <p/>던전이라든지, 위험한 몬스터가<br/>출몰하는 곳이라든지…. <br/>치료하러 가 당하지 않게<br/>주의해 주세요. 하하….
g2.239	환자를 돕는 것은, 매우 좋은 일이라고 생각해요. <br/>그렇지만 말야…. <p/>모든 사람이 반드시 그 기분을 솔직하게<br/>받아 준다고는 할 수 없는거야? <p/>본심으로부터 돕고 싶다고 하는 생각과<br/>일시적인 동정을 구별하는 것은, 역시 어려운거야. <p/><username/>씨가, 정말로 사람 돕기를 하고 싶다고 생각한다면<br/>본심과 동정의 차이에 대해<br/>한번 더 잘 생각해 보는 것이 좋네요.
g2.240	부상자를 치료하러 가기로<br/>결정했습니까? <br/>그것도, 환자들을 도울 수 있는<br/>하나의 방법이 된다고 생각합니다. <p/>대신에 그러한 경우에는<br/>사람의 호의를 받아들이는<br/>사람들의 태도에 대해<br/>아마, 여러가지 경험을 할 수 있다고 생각합니다. <p/>그런 경험이<username/>씨에게<br/>도움이 되면 좋네요.
g2.241	하…. <br/>눈물이 나올 것 같은 이야기다…. <p/>… 라고도 말한다고 생각했는지? <p/>아무튼, 사람이 하는 일에 참견할 생각은 없지만<br/>사람을 도운 생각에서도<br/>그것이 반드시, 사람에게 도움이 된다고는 할 수 없다. <br/>큰 부상을 한 사람이 실은 악당이라면 어떻게 한다. <p/>핫핫학… 그런 장난감 대나무 총을 먹은 것 같은 얼굴을 하지 마. <br/>세상은 그런 것이다. <br/>잘 기억해 두는구나.
g2.242	에…. <br/>결국 가 버렸군. <p/>도대체 누구에게 속아 그런 일을<br/>하기 시작했는지 모르지만,<br/>너의 돈으로, 붕대나 날개를 사 말야,<br/>그래서, 사람을 도와 주면 뭔가 보답이라도 있는 거야? <p/>에…. <br/>최근의 치료자들은, 장사가 능숙하니까. <br/>뭐, 노력해~
